player_id,position,league,tier,games,impact_raw,impact_z,impact_100
369,top,LPL,1,128,0.2181,3.71,81.3
Faker,mid,LCK,1,134,0.215,3.657,81.3
Knight,mid,LPL,1,128,0.2114,3.595,81.3
Kanavi,jng,LPL,1,125,0.2094,3.561,81.3
MISSING,sup,LPL,1,125,0.2094,3.561,81.3
Ruler,bot,LPL,1,125,0.2094,3.561,81.3
Peanut,jng,LCK,1,157,0.1879,3.195,81.1
Chovy,mid,LCK,1,133,0.1803,3.066,80.9
Delight,sup,LCK,1,133,0.1803,3.066,80.9
Doran,top,LCK,1,133,0.1803,3.066,80.9
Peyz,bot,LCK,1,133,0.1803,3.066,80.9
SlowQ,mid,UL,2,88,0.1628,2.767,80.6
BAO,bot,TCL,2,75,0.158,2.686,80.5
Destroy,top,TCL,2,75,0.158,2.686,80.5
Kofte,mid,TCL,2,75,0.158,2.686,80.5
Parus,sup,TCL,2,75,0.158,2.686,80.5
Color,top,UL,2,96,0.156,2.652,80.4
Ryuzaki,jng,UL,2,96,0.156,2.652,80.4
Aiming,bot,LCK,1,129,0.1457,2.476,80.1
Bdd,mid,LCK,1,129,0.1457,2.476,80.1
Cuzz,jng,LCK,1,129,0.1457,2.476,80.1
Kiin,top,LCK,1,129,0.1457,2.476,80.1
Lehends,sup,LCK,1,129,0.1457,2.476,80.1
Azhi,top,PCS,2,80,0.1431,2.433,80.0
Wako,bot,PCS,2,80,0.1431,2.433,80.0
Woody,sup,PCS,2,80,0.1431,2.433,80.0
Gumayusi,bot,LCK,1,152,0.1428,2.428,80.0
Keria,sup,LCK,1,152,0.1428,2.428,80.0
Oner,jng,LCK,1,152,0.1428,2.428,80.0
Zeus,top,LCK,1,152,0.1428,2.428,80.0
Sponge,jng,LCKC,2,134,0.1424,2.42,80.0
FakeGod,top,NACL,2,98,0.1408,2.393,79.9
Tomio,jng,NACL,2,98,0.1408,2.393,79.9
Zeyzal,sup,NACL,2,98,0.1408,2.393,79.9
Boukada,jng,LFL2,2,78,0.1395,2.371,79.9
HONOR,sup,LFL2,2,78,0.1395,2.371,79.9
Matias,bot,LFL2,2,78,0.1395,2.371,79.9
Maynter,top,LFL2,2,78,0.1395,2.371,79.9
JunJia,jng,PCS,2,73,0.1394,2.369,79.9
Fun K3y,bot,PRM,2,82,0.1389,2.361,79.8
ACD,top,PGN,2,78,0.1387,2.357,79.8
Cboi,jng,PGN,2,78,0.1387,2.357,79.8
Click,sup,PGN,2,78,0.1387,2.357,79.8
Six10,mid,PGN,2,78,0.1387,2.357,79.8
Vzz,bot,PGN,2,78,0.1387,2.357,79.8
Bin,top,LPL,1,164,0.1382,2.349,79.8
Elk,bot,LPL,1,164,0.1382,2.349,79.8
ON,sup,LPL,1,164,0.1382,2.349,79.8
Xun,jng,LPL,1,164,0.1382,2.349,79.8
Lekcyc,sup,PRM,2,86,0.1369,2.328,79.8
Mask,mid,PRM,2,86,0.1369,2.328,79.8
Venour,top,PRM,2,86,0.1369,2.328,79.8
SeTab,mid,LCKC,2,131,0.1349,2.293,79.7
Bardito,sup,LRS,2,50,0.1343,2.282,79.6
Kz,bot,LRS,2,50,0.1343,2.282,79.6
Yagao,mid,LPL,1,160,0.1322,2.246,79.5
Pullbae,mid,LCKC,2,133,0.1304,2.217,79.4
Harp,sup,LJL,2,71,0.1279,2.174,79.3
Kiaya,top,VCS,2,112,0.1275,2.167,79.3
Levi,jng,VCS,2,112,0.1275,2.167,79.3
Aria,mid,LJL,2,73,0.1264,2.147,79.2
Steal,jng,LJL,2,73,0.1264,2.147,79.2
Yutapon,bot,LJL,2,73,0.1264,2.147,79.2
Aspire,top,LDL,2,110,0.1263,2.147,79.2
JiaQi,bot,LDL,2,110,0.1263,2.147,79.2
Niket,sup,LDL,2,110,0.1263,2.147,79.2
Enga,mid,LRS,2,43,0.1254,2.131,79.2
Scout,mid,LPL,1,118,0.1249,2.122,79.2
Tarzan,jng,LPL,1,118,0.1249,2.122,79.2
Zika,top,LPL,1,118,0.1249,2.122,79.2
Lucid,jng,LCKC,2,137,0.1243,2.112,79.1
Thanatos,top,LCKC,2,137,0.1243,2.112,79.1
sanghyeon,sup,UL,2,84,0.1219,2.072,79.0
BrokenBlade,top,LEC,1,100,0.1216,2.066,79.0
Caps,mid,LEC,1,100,0.1216,2.066,79.0
Hans Sama,bot,LEC,1,100,0.1216,2.066,79.0
Mikyx,sup,LEC,1,100,0.1216,2.066,79.0
Yike,jng,LEC,1,100,0.1216,2.066,79.0
EMENES,mid,LCS,1,86,0.1208,2.053,78.9
Garvey,top,LDL,2,126,0.1196,2.032,78.8
Medzz,mid,LDL,2,126,0.1196,2.032,78.8
Winsome,sup,NACL,2,84,0.1194,2.03,78.8
Jinbeom,bot,LAS,2,73,0.1189,2.02,78.8
Siwoo,top,LAS,2,73,0.1189,2.02,78.8
Kemish,mid,LAS,2,79,0.1152,1.957,78.5
Bible,sup,LCKC,2,54,0.115,1.955,78.5
Rahel,bot,LCKC,2,140,0.1137,1.932,78.4
Sty1e,bot,VCS,2,71,0.1137,1.932,78.4
naiyou,jng,LDL,2,101,0.1132,1.924,78.4
Hang,sup,LPL,1,124,0.1115,1.894,78.3
Kati,mid,VCS,2,109,0.1112,1.89,78.2
Heroic,mid,LPLOL,2,64,0.1107,1.881,78.2
Elramir,jng,EM,2,75,0.1098,1.866,78.1
FEBIVEN,mid,PRM,2,79,0.1098,1.866,78.1
JNX,top,PRM,2,79,0.1098,1.866,78.1
Keduii,bot,PRM,2,79,0.1098,1.866,78.1
Lurox,jng,PRM,2,79,0.1098,1.866,78.1
Prime,sup,PRM,2,79,0.1098,1.866,78.1
Vinay,sup,LDL,2,120,0.1061,1.803,77.8
Zin,sup,VCS,2,80,0.1045,1.775,77.7
tol2,top,LJL,2,52,0.1042,1.769,77.7
Cinkrof,jng,LFL,2,40,0.1036,1.761,77.6
Enty,sup,LJL,2,74,0.1036,1.76,77.6
Jett,mid,LJL,2,74,0.1036,1.76,77.6
LokeN,bot,LJL,2,74,0.1036,1.76,77.6
MrLemon,jng,LRN,2,55,0.1031,1.751,77.6
Caliste,bot,LFL,2,62,0.1017,1.728,77.4
Wangxiao,mid,LDL,2,97,0.1016,1.726,77.4
Jezu,bot,LFL,2,116,0.1,1.699,77.3
Lyncas,jng,LFL,2,116,0.1,1.699,77.3
Ragner,top,LFL,2,116,0.1,1.699,77.3
Time,jng,LPLOL,2,66,0.1,1.699,77.3
Toucouille,mid,LFL,2,116,0.1,1.699,77.3
kamilius,sup,LFL,2,116,0.1,1.699,77.3
Pleata,sup,LCKC,2,133,0.0992,1.685,77.2
Jackies,mid,HM,2,80,0.099,1.681,77.2
Khantos,bot,HM,2,80,0.099,1.681,77.2
Robocop,top,HM,2,80,0.099,1.681,77.2
Zicssi,jng,HM,2,80,0.099,1.681,77.2
denyk,sup,HM,2,80,0.099,1.681,77.2
Luon,sup,LCKC,2,113,0.0989,1.68,77.2
Sounda,jng,LCKC,2,113,0.0989,1.68,77.2
Avra,bot,UL,2,66,0.0981,1.665,77.1
TheShy,top,LPL,1,118,0.0956,1.624,76.8
Xiaohu,mid,LPL,1,118,0.0956,1.624,76.8
Ceos,sup,CBLOL,2,70,0.0955,1.622,76.8
Croc,jng,CBLOL,2,70,0.0955,1.622,76.8
Robo,top,CBLOL,2,70,0.0955,1.622,76.8
Route,bot,CBLOL,2,70,0.0955,1.622,76.8
tinowns,mid,CBLOL,2,70,0.0955,1.622,76.8
Zelt,mid,LRN,2,54,0.0953,1.618,76.8
Frog,top,LCKC,2,77,0.094,1.596,76.7
Lost,bot,NACL,2,48,0.0936,1.59,76.6
Berserker,bot,LCS,1,75,0.0934,1.586,76.6
Blaber,jng,LCS,1,75,0.0934,1.586,76.6
Fudge,top,LCS,1,75,0.0934,1.586,76.6
Zven,sup,LCS,1,75,0.0934,1.586,76.6
Cabochard,top,LFL,2,58,0.0933,1.585,76.6
SAKEN,mid,LFL,2,58,0.0933,1.585,76.6
Paz,top,LJL,2,64,0.0932,1.583,76.6
Diamond,sup,NACL,2,57,0.0929,1.577,76.5
PandaC,top,LDL,2,84,0.0927,1.574,76.5
Slayder,bot,VCS,2,102,0.0925,1.571,76.5
Crisp,sup,LPL,1,123,0.0915,1.554,76.4
Light,bot,LPL,1,123,0.0915,1.554,76.4
Hoon,top,NACL,2,45,0.0913,1.55,76.4
eXyu,jng,NACL,2,45,0.0913,1.55,76.4
Once,jng,LJL,2,60,0.09,1.529,76.2
Peach,jng,LEC,1,82,0.0898,1.525,76.2
Mihile,top,LCKC,2,111,0.0896,1.522,76.2
Dya,bot,LRN,2,55,0.0886,1.505,76.0
Ichiwin,sup,LRN,2,55,0.0886,1.505,76.0
Keii,top,LRN,2,55,0.0886,1.505,76.0
Xzz,mid,LDL,2,109,0.0882,1.497,76.0
milkyway,jng,LDL,2,109,0.0882,1.497,76.0
Czypsy,sup,UL,2,82,0.0875,1.486,75.9
Roison,mid,UL,2,82,0.0875,1.486,75.9
KINGPIN,sup,ESLOL,2,81,0.087,1.477,75.8
Blank,jng,LJL,2,75,0.0864,1.467,75.8
DasheR,mid,LJL,2,75,0.0864,1.467,75.8
Kinatu,top,LJL,2,75,0.0864,1.467,75.8
Marble,bot,LJL,2,75,0.0864,1.467,75.8
Vsta,sup,LJL,2,75,0.0864,1.467,75.8
Ice,bot,UL,2,51,0.0861,1.462,75.7
Insanity,mid,NACL,2,70,0.0852,1.446,75.6
Like 1999,jng,LAS,2,58,0.0851,1.445,75.6
Savero,jng,UL,2,80,0.0851,1.446,75.6
KacikFitnes,sup,HC,2,58,0.0849,1.442,75.6
Furuy,mid,LFL2,2,76,0.0847,1.438,75.6
Banderas,top,EPL,2,89,0.0838,1.423,75.4
Deft,bot,LCK,1,100,0.0829,1.407,75.3
VirusFx,bot,DDH,2,50,0.0828,1.407,75.3
Arrow,bot,NACL,2,96,0.0826,1.403,75.3
Bradley,top,NACL,2,96,0.0826,1.403,75.3
Kim Down,sup,NACL,2,96,0.0826,1.403,75.3
Mir,jng,NACL,2,96,0.0826,1.403,75.3
Faisal,top,NACL,2,96,0.0822,1.396,75.2
Neramin,bot,UL,2,70,0.0809,1.373,75.0
Mori,jng,LDL,2,72,0.0803,1.363,75.0
Starry,bot,LDL,2,82,0.08,1.358,74.9
Callme,mid,LCKC,2,79,0.0796,1.352,74.9
Kevy,jng,NACL,2,59,0.0776,1.318,74.6
Meech,bot,NACL,2,88,0.077,1.308,74.5
Noah,bot,LEC,1,84,0.077,1.306,74.5
