id,hangul,zh,source,note
River,김동우,,,No Chinese name found. Baidu Baike has an ID-titled entry (https://baike.baidu.com/item/River/57137989) but page is 403; 100T/PSG signing news (chaofan) and 电竞风 use ID only
Quid,임현승,,,"No Chinese name found; Chinese sources (百度知道, 网易 interview) use only romanized Lim Hyeon-seung"
Ssumday,김찬호,金灿浩,https://baike.baidu.com/item/%E9%87%91%E7%81%BF%E6%B5%A9/59849469,"Baidu Baike card: 游戏ID Ssumday, b. 1996-07-03"
huhi,최재현,,https://baike.baidu.com/item/huhi/58404562,No Chinese name: Baidu Baike gives only 本名 Choi Jae-hyun（최재현）; 直播吧/虎扑 articles use ID only
Tarzan,이승용,李承勇,https://baike.baidu.com/item/%E6%9D%8E%E6%89%BF%E5%8B%87/56523573,"Baidu Baike card: 游戏ID Tarzan, b. 1999-08-23; also moegirl"
Kael,김진홍,金珍洪,https://baike.baidu.com/item/%E9%87%91%E7%8F%8D%E6%B4%AA/64513163,"Baidu Baike card: 游戏ID Kael, b. 2004-02-11, AL"
Clear,송현민,,,No Chinese name found. Baidu Baike ID-titled entry (https://baike.baidu.com/item/Clear/60115750) page is 403
Raptor,전어진,,,No Chinese name found (scoregg/17173 use ID only). A search-tool summary claimed 郑允津 but no page showed it and it does not match 전어진 - NOT used
Clozer,이주현,,,No Chinese name found; BWIKI (wiki.biligame.com/lol/Clozer) gives only Lee Ju-hyeon (이주현)
Hena,박증환,朴增焕,https://baike.baidu.com/item/%E6%9C%B4%E5%A2%9E%E7%84%95/60174568,"Baidu Baike card: 游戏ID Hena, b. 1999-10-08"
Duro,주민규,朱玟奎,https://www.sohu.com/a/915412331_122004016,定稿：百度百科词条名（朱敏圭 重定向到这里）；搜狐、萌娘写作 朱敏圭
Topoon,김지훈,,,No Chinese name found (玩加 player page shows ID only)
EMENES,장민수,,,No Chinese name found; Chinese articles use ID only
Berserker,김민철,,,No Chinese name found. Baidu Baike ID-titled entry (https://baike.baidu.com/item/Berserker/60831165) page is 403; 电竞风 lists no real name
Steal,문건영,,,No Chinese name found. Baidu Baike ID-titled entry (https://baike.baidu.com/item/Steal/57153756) page is 403; 虎扑 translations use ID only
Aria,이가을,,,No Chinese name found. Baidu Baike ID-titled entry (https://baike.baidu.com/item/Aria/57153712) page is 403
Harp,이지융,,,No Chinese name found. A search-tool summary claimed 李志勇 but no page showed it - NOT used
Yaharong,이찬주,李灿珠,https://m.163.com/dy/article/JOJDD0UG05528K16.html,定稿：网易、BWIKI；17173 写作 李灿柱
Canna,김창동,金彰东,https://baike.baidu.com/item/%E9%87%91%E5%BD%B0%E4%B8%9C/56620241,"Baidu Baike card: 游戏ID Canna, b. 2000-02-11, KC; moegirl has traditional 金彰東"
Canyon,김건부,金建敷,https://baike.baidu.com/item/%E9%87%91%E5%BB%BA%E6%95%B7/56548774,"Baidu Baike card: 游戏ID Canyon, b. 2001-06-18; also zh.wikipedia"
ShowMaker,허수,许秀,https://baike.baidu.com/item/%E8%AE%B8%E7%A7%80/56574631,"Baidu Baike card: 游戏ID ShowMaker, b. 2000-07-22; also zh.wikipedia"
Deft,김혁규,金赫奎,https://baike.baidu.com/item/%E9%87%91%E8%B5%AB%E5%A5%8E/19772728,"Baidu Baike card: 游戏ID Deft, b. 1996-10-23; also zh.wikipedia"
Kellin,김형규,金亨圭,https://baike.baidu.com/item/%E9%87%91%E4%BA%A8%E5%9C%AD/59406241,"Baidu Baike card: 游戏ID Kellin, b. 2001-02-01 (another 金亨圭 entry is an unrelated person)"
Kingen,황성훈,黄星勋,https://baike.baidu.com/item/%E9%BB%84%E6%98%9F%E5%8B%8B/59850448,"Baidu Baike card: 游戏ID kingen, b. 2000-03-11; also 腾讯新闻 'Kingen黄星勋'"
Lucid,최용혁,,https://baike.baidu.com/item/%E5%B4%94%E5%AE%B9%E8%B5%AB/64881815,定稿：百度百科页面打不开、没核实到是不是他，先留韩文
Aiming,김하람,金夏兰,https://baike.baidu.com/item/%E9%87%91%E5%A4%8F%E5%85%B0/57284646,"Baidu Baike card: 游戏ID Aiming, b. 2000-07-20"
Moham,정재훈,郑渽勋,https://baike.baidu.com/item/Moham/60239524,"Baidu Baike card 中文名 郑渽勋 (游戏ID Moham, b. 2002-08-08); also china.com 2026-07-29 WBG signing article"
Pyosik,홍창현,洪畅贤,https://baike.baidu.com/item/%E6%B4%AA%E7%95%85%E8%B4%A4/59850445,"Baidu Baike card: 游戏ID Pyosik, b. 2000-03-12; also moegirl"
Juhan,이주한,李柱韩,https://baike.baidu.com/item/%E6%9D%8E%E6%9F%B1%E9%9F%A9/61931157,"CONFLICT: Baidu Baike card 李柱韩 (游戏ID Juhan, b. 2001-08-31); BWIKI (wiki.biligame.com/lol/Juhan) writes 李珠翰, which has no other hits"
Zeka,김건우,金建佑,https://baike.baidu.com/item/%E9%87%91%E5%BB%BA%E4%BD%91/56647939,"Baidu Baike card: 游戏ID Zeka, b. 2002-11-28; also moegirl, 电竞风"
BeryL,조건희,赵乾熙,https://baike.baidu.com/item/%E8%B5%B5%E4%B9%BE%E7%86%99/56542261,"Baidu Baike card: 游戏ID BeryL, b. 1997-04-01; also sogou baike, moegirl, 游侠网"
Rascal,김광희,金光熙,https://baike.baidu.com/item/%E9%87%91%E5%85%89%E7%86%99/57153174,"Baidu Baike card: 游戏ID Rascal, b. 1997-10-16; also zh.wikipedia"
Croco,김동범,金东范,https://baike.baidu.com/item/%E9%87%91%E4%B8%9C%E8%8C%83/59944327,"Baidu Baike card: 游戏ID Croco, b. 2000-02-23"
FATE,유수혁,柳秀赫,https://baike.baidu.com/item/%E6%9F%B3%E7%A7%80%E8%B5%AB/58259239,定稿：百度百科；电竞风写作 刘秀赫
Paduck,박석현,,,No Chinese source found (BWIKI and 电竞风 pages 404; Leaguepedia/ggscore only Hangul/romanization)
Burdol,노태윤,卢泰允,https://www.scoregg.com/p/1392377,scoregg: LGD官宣 上单选手Burdol（卢泰允）; also 百度百科 卢泰允/59372580 and BWIKI 卢泰允(노태윤)
deokdam,서대길,徐大吉,https://baike.baidu.com/item/%E5%BE%90%E5%A4%A7%E5%90%89/58208932,also lpl.qq.com player page (mbid=4359); 萌娘百科; 搜狗百科
Scout,이예찬,李汭灿,https://zh.wikipedia.org/zh-hans/%E6%9D%8E%E6%B1%AD%E7%87%A6,定稿：简体
Viper,박도현,朴到贤,https://zh.wikipedia.org/wiki/%E6%9C%B4%E5%88%B0%E8%B4%A4,also 百度百科 朴到贤/56523576; 萌娘百科
Impact,정언영,郑彦永,https://baike.baidu.com/item/%E9%83%91%E5%BD%A6%E6%B0%B8/58137895,single source (百度百科 entry for top laner born 1995-03-07); 电竞风 gives Hangul only
Quad,송수형,宋洙衡,https://wiki.biligame.com/lol/Quad,single source: BWIKI 姓名 宋洙衡(송수형); teams FLY/NS/DRX/KZ
Noah,오현택,吴贤泽,https://www.dianjingfeng.com/player/noah/,single source: 电竞风 profile 姓名 吴贤泽 (KT ADC; debuted 2019; KT from 2020); BWIKI gives Hangul only
Jun,윤세준,尹世俊,https://www.dianjingfeng.com/player/jun/,single source: 电竞风 profile 姓名 尹世俊 (DRX support; DRX academy 2020; main roster July 2021)
Poby,윤성원,尹晟源,https://www.sohu.com/a/909249731_122004016,搜狐: 韩国战队T1的二队选手Poby（尹晟源）; also 羊城晚报 and the player's own Threads post 'Poby 尹晟源'
Forest,이현서,,,No Chinese source found (BWIKI/电竞风 404; wanplus page lists no real name)
DasheR,김덕범,,,No Chinese source found (BWIKI gives Hangul only)
Vsta,오효성,,,No Chinese source found (BWIKI and 电竞风 give Hangul only)
Doran,최현준,崔玄准,https://baike.baidu.com/item/%E5%B4%94%E7%8E%84%E5%87%86/59848918,定稿：简体；另有 崔玄凖 / 崔玄準
Peanut,한왕호,韩旺乎,https://www.sina.cn/news/detail/5308681001894479.html,定稿：官方赛事号 2026 年告别帖、中文维基；旧写法 韩王浩
Chovy,정지훈,郑志勋,https://news.qq.com/rain/a/20231203A03Z4H00,定稿：腾讯新闻、百度百科多数；维基写作 郑智勋
Peyz,김수환,金修奂,https://baike.baidu.com/item/%E9%87%91%E4%BF%AE%E5%A5%82/62396106,also 萌娘百科
Delight,유환중,刘焕中,https://baike.baidu.com/item/%E5%88%98%E7%84%95%E4%B8%AD/62396105,also 电竞风 profile 姓名 刘焕中
Ruler,박재혁,朴载赫,https://baike.baidu.com/item/%E6%9C%B4%E8%BD%BD%E8%B5%AB/57148869,also 萌娘百科; 腾蛇电竞
Lehends,손시우,孙施尤,https://baike.baidu.com/item/%E5%AD%99%E6%96%BD%E5%B0%A4/58164144,also 萌娘百科
Kiin,김기인,金基仁,https://baike.baidu.com/item/%E9%87%91%E5%9F%BA%E4%BB%81/58515847,also 萌娘百科
