player_id,position,league,tier,games,winrate,teams,操作,意识,心态,团队,体质,综合,操作_10,意识_10,心态_10,团队_10,体质_10,综合_10,f_gd15,f_xd15,f_cd15,f_dpm,f_dmgshare,f_cspm,f_multi,f_vspm,f_wcpm,f_cwards,f_kp,f_deathshare,f_ejg,f_adver,f_clutch,f_lateg,f_stable,f_egshare,f_dmgmit,f_gspd,f_games,f_decay
Chovy,mid,LCK,1,104,0.76,Gen.G,77.6,76.8,73.0,53.9,66.3,71.5,7.8,7.7,7.3,5.4,6.6,7.2,414.3942307692308,337.74038461538464,11.442307692307692,590.8425298076922,0.27364127884615386,9.84798173076923,0.5865384615384616,1.6736548076923077,0.4498432692307693,4.240384615384615,0.6698434309053778,0.14256198347107438,0.0,0.3038461538461538,0.06812194203989468,-0.24927863505206377,-0.6351128276872782,0.25552292307692304,371.0107009615385,0.0,104.0,-0.14516757599376473
Knight,mid,LPL,1,128,0.633,Top Esports,76.3,69.3,69.6,63.5,72.5,70.9,7.6,6.9,7.0,6.3,7.2,7.1,551.6666666666666,432.8333333333333,8.666666666666666,578.14433828125,0.275032890625,8.89146953125,0.0546875,1.13651171875,0.27841640625,4.5703125,0.7078891257995735,0.13829047949965254,3.2868852459016393,0.3082018750350867,-0.06108035005425529,-0.09738786597340833,-0.7482122815105962,0.2418254453125,316.88776666666666,0.0,128.0,0.10508865000698031
JuanDeDios,top,SL (LATAM),3,58,0.69,Diamond Doves|Incubus,78.2,69.9,71.6,56.6,72.8,70.9,7.8,7.0,7.2,5.7,7.3,7.1,1053.6206896551723,525.5689655172414,25.29310344827586,547.6952603448276,0.2595752413793103,8.494843103448275,0.5689655172413793,1.0802793103448276,0.17399827586206898,5.362068965517241,0.5821782178217821,0.16,0.0,0.25659477883294235,0.20743435932736767,0.7966368374471435,-0.7040241000789674,0.24431112068965516,619.2854137931035,0.0,58.0,0.36844319368689804
Pak,mid,LFL2,2,26,0.462,Atletec|Sprout,79.1,74.5,67.6,66.3,43.7,69.8,7.9,7.5,6.8,6.6,4.4,7.0,289.0769230769231,356.7307692307692,17.923076923076923,738.3242807692308,0.3311092692307692,9.691034615384616,1.0,1.0222923076923076,0.1994423076923077,4.423076923076923,0.7686170212765957,0.09382716049382717,0.0,0.32331655129011955,-0.41609294320137685,0.0,-0.6996713297669461,0.2825951923076923,257.2049576923077,0.0,26.0,-0.3967948717948717
Szygenda,top,LFL,2,108,0.694,Vitality.Bee,78.7,70.5,60.7,55.3,74.5,69.4,7.9,7.0,6.1,5.5,7.5,6.9,656.074074074074,531.0,18.84259259259259,615.0062240740741,0.2636994351851852,8.808310185185185,0.5555555555555556,1.201523148148148,0.2163138888888889,5.462962962962963,0.538382277176713,0.17665867306155075,0.0,0.22359265695733654,0.0034942964703218752,-0.3836511789181692,-0.7800502436353342,0.2458649074074074,757.6066657407407,0.0,108.0,0.08776707163803944
Juliera,bot,CBLOLA,3,50,0.82,paiN Gaming Academy,66.3,77.3,65.5,65.4,70.5,69.4,6.6,7.7,6.5,6.5,7.0,6.9,264.36,122.04,2.18,623.034656,0.27239426,8.824542000000001,1.06,1.5648339999999998,0.430774,3.98,0.7142857142857143,0.136,0.0,0.2681978413344478,-0.09614877192982445,-0.22623999999999997,-0.6054591614967278,0.25963546,260.151214,0.0,50.0,0.3315195646955268
SkyBart,top,CBLOLA,3,55,0.764,paiN Gaming Academy,75.9,72.1,61.5,59.8,68.6,69.2,7.6,7.2,6.2,6.0,6.9,6.9,676.0363636363636,250.03636363636363,8.654545454545454,601.5149163636363,0.27157696363636363,8.50606909090909,0.6181818181818182,1.074881818181818,0.18097272727272729,4.4363636363636365,0.6237837837837837,0.16833095577746077,0.0,0.25243115049871206,-0.1541866738883623,-0.1569364733821492,-0.7763450908555678,0.2527084909090909,650.7921872727272,0.0,55.0,0.15381973266164806
Jun,sup,LCKC,2,54,0.704,Kiwoom DRX|Kiwoom DRX Challengers,73.5,78.0,64.0,60.1,57.5,69.1,7.3,7.8,6.4,6.0,5.8,6.9,360.037037037037,430.24074074074076,10.944444444444445,173.2985148148148,0.0850804111111111,1.8246314814814815,0.037037037037037035,3.125527777777778,0.5429611111111111,14.592592592592593,0.7454545454545455,0.1875,0.0,0.28911525563875234,-0.35246035805626585,-0.48831202046035804,-0.6489425593993062,0.11175411481481481,426.53065185185187,0.0,54.0,-0.2201895043731779
Ruby,mid,PRM,3,86,0.709,Unicorns of Love Sexy Edition,74.3,73.9,58.1,55.5,77.2,68.9,7.4,7.4,5.8,5.5,7.7,6.9,386.7325581395349,237.61627906976744,6.27906976744186,655.4363197674419,0.29680324418604653,8.638575581395349,0.7674418604651163,1.4200151162790697,0.3048697674418605,5.732558139534884,0.6943681318681318,0.20756646216768918,0.0,0.20373376716043037,-0.00661857525972508,-0.0008372562392224475,-0.7291414211473839,0.24320079069767442,347.6731662790698,0.0,86.0,0.10126477181523819
Emp,mid,LHE,2,59,0.814,Furious Gaming,79.2,61.6,75.7,56.7,64.9,68.7,7.9,6.2,7.6,5.7,6.5,6.9,654.728813559322,615.6271186440678,17.74576271186441,654.196720338983,0.28003328813559325,8.90272033898305,0.9830508474576272,1.0892644067796609,0.22260677966101697,4.745762711864407,0.6649076517150396,0.16643159379407615,0.0,0.3076944119598148,0.7275907887031714,0.3579308766308082,-0.7175110099488624,0.24588466101694914,322.09199491525425,0.0,59.0,0.22869484726936126
