player_id,position,league,tier,games,winrate,teams,操作,意识,心态,团队,体质,综合,操作_10,意识_10,心态_10,团队_10,体质_10,综合_10,f_gd15,f_xd15,f_cd15,f_dpm,f_dmgshare,f_cspm,f_multi,f_vspm,f_wcpm,f_cwards,f_kp,f_deathshare,f_ejg,f_adver,f_clutch,f_lateg,f_stable,f_egshare,f_dmgmit,f_gspd,f_games,f_decay
pinz,mid,LDL,2,79,0.722,Bilibili Gaming Junior|FunPlus Phoenix Blaze,56.2,77.7,74.7,56.1,70.1,66.4,5.6,7.8,7.5,5.6,7.0,6.6,0.0,0.0,0.0,633.469353164557,0.2868164936708861,8.941051898734178,0.0,1.4259696202531646,0.2652898734177215,5.7974683544303796,0.6795454545454546,0.1363173957273652,3.6582278481012658,0.3369280325973239,0.1542238509257265,0.1724868865416397,-0.6407264231108728,0.24411096202531646,0.0,0.0,79.0,0.1015496575342464
Bafang,sup,LDL,2,93,0.624,Joy Dream|Team Pinnacle,60.3,75.2,62.6,52.1,71.2,64.5,6.0,7.5,6.3,5.2,7.1,6.5,0.0,0.0,0.0,212.2724505376344,0.0939629870967742,0.9734989247311827,0.0,2.75062688172043,0.4200849462365592,15.505376344086022,0.726,0.208,0.0967741935483871,0.2637923341821328,-0.05887305153770537,-0.19629265552590933,-0.8129703695260646,0.10287792903225806,0.0,0.0,93.0,0.16211603120227916
Thesnake,bot,LDL,2,42,0.619,TEAM ORANGE,63.9,78.2,52.9,55.3,54.4,63.3,6.4,7.8,5.3,5.5,5.4,6.3,0.0,0.0,0.0,652.6616512195122,0.3356604146341463,10.978345238095239,0.0,1.3135853658536585,0.4076439024390244,3.2195121951219514,0.7487266553480475,0.12227805695142378,3.926829268292683,0.22487871437234688,-0.40295549767863215,-0.6772732419884498,-0.7052712603319341,0.3211229523809524,0.0,0.0,42.0,-0.07466666666666663
Kartis,top,LDL,2,124,0.637,FunPlus Phoenix Blaze,54.3,67.3,67.8,55.0,77.7,62.8,5.4,6.7,6.8,5.5,7.8,6.3,0.0,0.0,0.0,530.1498911290323,0.2419674919354839,7.944058870967742,0.0,0.9388790322580646,0.18942741935483873,4.790322580645161,0.5363540569020021,0.15861214374225527,2.8306451612903225,0.27221903206155174,0.04915362840758859,-0.05644694259921643,-0.7757617454351547,0.22097732258064517,0.0,0.0,124.0,0.25849592026639384
Mori,jng,LDL,2,68,0.412,Oh My God Academy,52.2,75.1,55.5,63.8,69.9,62.7,5.2,7.5,5.5,6.4,7.0,6.3,0.0,0.0,0.0,342.0641544117647,0.16100093529411763,5.322432352941177,0.0,1.5064470588235295,0.38081029411764705,8.705882352941176,0.749738219895288,0.19105312208760486,11.661764705882353,0.21104625550660788,0.0,0.0,-0.977262022282228,0.18146726470588237,0.0,0.0,68.0,0.700409682210652
Qing,mid,LDL,2,96,0.635,FunPlus Phoenix Blaze,51.4,72.1,62.0,59.8,72.4,62.3,5.1,7.2,6.2,6.0,7.2,6.2,0.0,0.0,0.0,583.5445427083333,0.2671029166666667,8.301496875,0.0,1.1608260416666667,0.22444270833333332,6.322916666666667,0.7091767881241565,0.1518784972022382,2.1875,0.2336624302394492,0.03284364460779132,-0.15555097902541026,-0.7197842771590257,0.23542656250000002,0.0,0.0,96.0,0.08388477478089551
Feikun,mid,LDL,2,72,0.514,ThunderTalk Gaming|ThunderTalk Gaming Young,52.7,76.6,60.9,54.4,65.8,62.1,5.3,7.7,6.1,5.4,6.6,6.2,0.0,0.0,0.0,579.5970652777778,0.2808889375,8.4746875,0.0,1.3776847222222222,0.3128861111111111,5.083333333333333,0.687382297551789,0.1673511293634497,3.3055555555555554,0.2811530074852399,0.05828625288233359,-0.4384008168715391,-0.8700252439713443,0.23955894444444445,0.0,0.0,72.0,0.2435339713675552
xinye,mid,LDL,2,60,0.517,Team WE Academy|Young Miracles,58.5,70.8,63.0,56.8,58.2,62.1,5.8,7.1,6.3,5.7,5.8,6.2,0.0,0.0,0.0,662.80773,0.29342185,8.210841666666667,0.0,1.1054233333333334,0.243835,3.566666666666667,0.7142857142857143,0.18191161356628982,3.316666666666667,0.23216227174171708,0.06299231840731168,0.4232533133487018,-0.8155309728514051,0.23588776666666667,0.0,0.0,60.0,-0.05555486034638094
Invincible,top,LDL,2,82,0.646,V5 87|Victory Five,63.4,70.2,56.3,49.3,63.8,61.8,6.3,7.0,5.6,4.9,6.4,6.2,0.0,0.0,0.0,609.9401439024391,0.2770942682926829,9.012837804878048,0.0,1.0021024390243902,0.19735121951219511,3.8902439024390243,0.5682137834036568,0.20833333333333334,6.085365853658536,0.2082430182441909,-0.09318786796943489,-0.34673387980709003,-0.8356047624217898,0.2410285,0.0,0.0,82.0,-0.19387129947705833
jiang,bot,LDL,2,25,0.6,FunPlus Phoenix Blaze,58.9,74.5,57.2,59.5,48.8,61.6,5.9,7.5,5.7,6.0,4.9,6.2,0.0,0.0,0.0,643.392916,0.29816292,9.50452,0.0,1.10036,0.384132,3.12,0.7440758293838863,0.14960629921259844,4.8,0.24357656731757454,-0.1310251188051595,-0.517990495587237,-0.7746306802516696,0.28101296,0.0,0.0,25.0,0.08076184851616729
Insulator,mid,LDL,2,93,0.613,Joy Dream,52.5,72.3,56.8,58.4,70.3,61.4,5.2,7.2,5.7,5.8,7.0,6.1,0.0,0.0,0.0,617.9086150537635,0.2607691935483871,8.287669892473119,0.0,1.1109978494623656,0.22638494623655914,6.505376344086022,0.6830386378519974,0.14185502727981295,3.204301075268817,0.2598849367566721,-0.38010261194029843,-0.5395455756929637,-0.7418447799983254,0.23367475268817203,0.0,0.0,93.0,-0.016991915602330567
Xingye,bot,LDL,2,79,0.62,FunPlus Phoenix|FunPlus Phoenix Blaze,50.3,69.7,71.9,51.0,71.1,61.4,5.0,7.0,7.2,5.1,7.1,6.1,0.0,0.0,0.0,588.9686341772152,0.25645401265822787,9.3421582278481,0.0,1.271846835443038,0.41983417721518984,3.759493670886076,0.6862910008410429,0.17356205852674067,2.810126582278481,0.2535748417925868,0.448951416737887,0.6607864191849467,-0.7887045727999498,0.26904446835443036,0.0,0.0,79.0,0.42384272629754927
Zinco,bot,LDL,2,40,0.525,Royal Club|Royal Never Give Up,56.3,72.6,66.3,54.9,52.2,61.4,5.6,7.3,6.6,5.5,5.2,6.1,0.0,0.0,0.0,635.2068449999999,0.280945825,8.536620000000001,0.0,1.35337,0.41905000000000003,3.475,0.7026548672566372,0.1676300578034682,2.65,0.36211056608776343,-0.7736201455529079,0.0,-0.7105052028170078,0.26460515,0.0,0.0,40.0,-0.1648096564531104
