player_id,position,league,tier,games,winrate,teams,操作,意识,心态,团队,体质,综合,操作_10,意识_10,心态_10,团队_10,体质_10,综合_10,f_gd15,f_xd15,f_cd15,f_dpm,f_dmgshare,f_cspm,f_multi,f_vspm,f_wcpm,f_cwards,f_kp,f_deathshare,f_ejg,f_adver,f_clutch,f_lateg,f_stable,f_egshare,f_dmgmit,f_gspd,f_games,f_decay
Chovy,mid,LCK,1,104,0.76,Gen.G,77.6,76.8,73.0,53.9,66.3,71.5,7.8,7.7,7.3,5.4,6.6,7.2,414.3942307692308,337.74038461538464,11.442307692307692,590.8425298076922,0.27364127884615386,9.84798173076923,0.5865384615384616,1.6736548076923077,0.4498432692307693,4.240384615384615,0.6698434309053778,0.14256198347107438,0.0,0.3038461538461538,0.06812194203989468,-0.24927863505206377,-0.6351128276872782,0.25552292307692304,371.0107009615385,0.0,104.0,-0.14516757599376473
Knight,mid,LPL,1,128,0.633,Top Esports,76.3,69.3,69.6,63.5,72.5,70.9,7.6,6.9,7.0,6.3,7.2,7.1,551.6666666666666,432.8333333333333,8.666666666666666,578.14433828125,0.275032890625,8.89146953125,0.0546875,1.13651171875,0.27841640625,4.5703125,0.7078891257995735,0.13829047949965254,3.2868852459016393,0.3082018750350867,-0.06108035005425529,-0.09738786597340833,-0.7482122815105962,0.2418254453125,316.88776666666666,0.0,128.0,0.10508865000698031
Ruler,bot,LCK,1,107,0.757,Gen.G,70.8,69.0,72.9,58.4,69.9,68.6,7.1,6.9,7.3,5.8,7.0,6.9,350.22429906542055,68.23364485981308,2.196261682242991,628.3275420560748,0.289618538317757,9.731404672897195,1.1495327102803738,1.6709046728971964,0.49854018691588786,7.570093457943925,0.6776532630191167,0.15269461077844312,0.0,0.27574873644687803,-0.050343270431015476,0.07864013510536746,-0.5753272979612277,0.2672893457943925,276.85727196261684,0.0,107.0,0.026502022296916047
Kellin,sup,LCK,1,112,0.625,Dplus Kia,67.3,68.9,68.8,67.3,68.0,68.0,6.7,6.9,6.9,6.7,6.8,6.8,189.53571428571428,-66.08928571428571,-3.9910714285714284,179.72974642857142,0.09011406785714285,0.8398214285714286,0.03571428571428571,2.8076839285714286,0.3280607142857143,17.875,0.7494722026741731,0.19489981785063754,0.0,0.2738008740931559,-0.0009884344718635483,-0.16669623521924384,-0.7367614011646224,0.09339746875,243.56888750000002,0.0,112.0,0.06903483287848115
Elyoya,jng,LEC,1,57,0.509,MAD Lions KOI,75.2,72.2,66.9,64.2,46.1,67.8,7.5,7.2,6.7,6.4,4.6,6.8,356.82456140350877,291.3859649122807,9.666666666666666,300.4867754385965,0.15414271578947367,5.622498245614035,0.40350877192982454,1.5631456140350877,0.4996982456140351,12.210526315789474,0.7410256410256411,0.18947368421052632,11.333333333333334,0.317261730284354,-0.4621754806192846,0.1748942699951346,-0.9459945367774016,0.18699063157894738,797.1046070175438,0.0,57.0,-0.13075752283048062
JackeyLove,bot,LPL,1,128,0.633,Top Esports,76.4,60.0,60.1,57.5,72.7,66.1,7.6,6.0,6.0,5.8,7.3,6.6,921.1666666666666,220.5,11.0,642.46154140625,0.3034947578125,9.0560421875,0.0546875,1.4182828125,0.47110234375,5.9453125,0.7084221748400853,0.20569840166782488,2.6475409836065573,0.21962314539080402,-0.10852197540465545,-0.09237491313578769,-0.7559844933213976,0.2666992265625,276.6486,0.0,128.0,0.13641761443629644
Prince,bot,LCK,1,58,0.586,Liiv SANDBOX,75.5,71.5,46.9,62.7,55.5,65.4,7.5,7.2,4.7,6.3,5.5,6.5,349.17241379310343,413.6034482758621,11.53448275862069,606.2060448275863,0.2902994137931034,10.217658620689654,1.2586206896551724,1.5232844827586207,0.44999482758620685,4.810344827586207,0.7425068119891008,0.1548872180451128,0.0,0.1469929695858169,0.1260295126973233,-0.570546131973723,-0.8839471166520256,0.2986150344827586,375.0313982758621,0.0,58.0,0.20650779101741498
369,top,LPL,1,121,0.669,JD Gaming,77.5,56.7,52.0,65.5,69.4,65.1,7.8,5.7,5.2,6.5,6.9,6.5,703.2142857142857,429.2857142857143,14.928571428571429,581.7617933884297,0.2557968181818182,7.957078512396694,0.049586776859504134,0.9570933884297521,0.21335454545454544,4.702479338842975,0.6060606060606061,0.23086654016445288,3.0654205607476634,0.21673444803657102,-0.38637666948938526,-0.6699733800094811,-0.8775059725522468,0.22292433884297522,1071.4902857142856,0.0,121.0,0.10448329566094917
Aiming,bot,LCK,1,98,0.49,KT Rolster,67.3,65.8,64.2,56.1,71.4,65.1,6.7,6.6,6.4,5.6,7.1,6.5,126.37755102040816,137.78571428571428,5.530612244897959,575.6074581632653,0.29462363265306124,9.924672448979592,1.0510204081632653,1.5190214285714287,0.4753857142857143,5.479591836734694,0.6906957250628667,0.15808170515097691,0.0,0.29241585639491396,-0.2541144901610018,-0.29293381037567084,-0.8126544914644589,0.2821212959183674,310.37522244897957,0.0,98.0,0.3787930446641664
Larssen,mid,LEC,1,73,0.603,Rogue,76.9,53.4,68.9,61.9,58.7,64.9,7.7,5.3,6.9,6.2,5.9,6.5,354.3835616438356,386.90410958904107,9.04109589041096,596.4538684931507,0.2735303424657534,8.83611506849315,0.4794520547945205,0.8520232876712328,0.14840273972602738,2.506849315068493,0.7172211350293543,0.145985401459854,2.642857142857143,0.20898106622577262,0.13410394286759106,1.0769701992720984,-0.7734894390051722,0.25043105479452055,342.13523287671234,0.0,73.0,0.013454424346169478
