player_id,position,league,tier,games,winrate,teams,操作,意识,心态,团队,体质,综合,操作_10,意识_10,心态_10,团队_10,体质_10,综合_10,f_gd15,f_xd15,f_cd15,f_dpm,f_dmgshare,f_cspm,f_multi,f_vspm,f_wcpm,f_cwards,f_kp,f_deathshare,f_ejg,f_adver,f_clutch,f_lateg,f_stable,f_egshare,f_dmgmit,f_gspd,f_games,f_decay
Bugi,jng,LLA,15,26,0.731,Estral Esports,79.7,65.4,69.1,63.2,50.1,68.1,8.0,6.5,6.9,6.3,5.0,6.8,504.34615384615387,254.07692307692307,1.8076923076923077,495.8615730769231,0.19819476153846155,6.093811538461538,0.7307692307692307,1.3132230769230768,0.35435000000000005,10.923076923076923,0.7631027253668763,0.18027210884353742,0.0,0.24979761648580243,0.021228545618789584,0.2761763981276177,-0.6904927636568909,0.2157761923076923,783.0035846153846,0.0,26.0,0.049542272482498664
tinowns,mid,CBLOL,15,61,0.607,LOUD,65.1,72.7,68.2,66.6,65.1,67.8,6.5,7.3,6.8,6.7,6.5,6.8,198.75409836065575,177.11475409836066,0.2786885245901639,577.6872967213114,0.2594656393442623,8.362095081967214,0.4918032786885246,1.209134426229508,0.2680311475409836,9.081967213114755,0.7147239263803681,0.11926605504587157,0.0,0.2513555261332829,0.2902957486136784,-0.22146487985212568,-0.7354486525256202,0.23490467213114755,342.1725114754098,0.0,61.0,0.12755565651976375
Crazy,top,TCL,15,46,0.543,Galatasaray Esports,78.5,69.7,61.7,59.2,54.3,67.5,7.8,7.0,6.2,5.9,5.4,6.8,1049.2173913043478,568.7173913043479,24.02173913043478,571.9781195652174,0.28440052173913044,8.474958695652173,0.5217391304347826,1.0595260869565217,0.23602608695652175,4.3478260869565215,0.6109324758842444,0.18032786885245902,0.0,0.27380078316201667,-0.1050756127237964,-0.44789674952198855,-0.9735898290498359,0.24260747826086956,669.947197826087,0.0,46.0,0.106901430592674
Raes,bot,LCO,15,64,0.797,Chiefs Esports Club,75.7,61.3,66.4,60.0,70.4,67.3,7.6,6.1,6.6,6.0,7.0,6.7,821.875,320.3125,9.6875,618.8818671875,0.2746695,9.129896875,1.375,1.427478125,0.368775,4.59375,0.6896853146853147,0.17548746518105848,0.0,0.23093804898893713,-0.12030082740258809,-0.026977368972269062,-0.6419492321103707,0.26601190625,325.1808640625,0.0,64.0,0.2349716756255971
BAO,bot,TCL,15,27,0.593,Fenerbahçe Esports,73.5,72.8,56.7,66.2,52.8,67.0,7.3,7.3,5.7,6.6,5.3,6.7,644.7037037037037,43.074074074074076,10.555555555555555,616.0283481481482,0.30304314814814814,9.692825925925925,1.1481481481481481,1.4175592592592592,0.42579999999999996,4.518518518518518,0.77088948787062,0.15432098765432098,0.0,0.1298101436669566,0.22883784055494144,0.35763546798029555,-0.8024545741228425,0.28753603703703706,316.42306296296294,0.0,27.0,0.22883784055494144
MnM,bot,PCS,15,54,0.481,Frank Esports,71.0,69.3,61.9,59.7,65.1,66.6,7.1,6.9,6.2,6.0,6.5,6.7,291.75925925925924,265.1666666666667,4.37037037037037,607.434237037037,0.3008529722222222,9.010961111111111,1.0925925925925926,1.5477740740740742,0.3885,4.888888888888889,0.7068965517241379,0.15805946791862285,0.0,0.21571541146009232,-0.08887031074903501,0.3426065920774116,-0.8496023718160669,0.27886462962962966,302.58213518518517,0.0,54.0,0.34640392117635294
Bie,sup,VCS,15,78,0.769,GAM Esports,69.8,66.4,73.0,52.7,69.4,66.6,7.0,6.6,7.3,5.3,6.9,6.7,141.21794871794873,74.28205128205128,2.641025641025641,188.81286794871795,0.08036470897435898,1.249548717948718,0.08974358974358974,2.7857910256410254,0.3563871794871795,14.294871794871796,0.664796633941094,0.17210682492581603,0.0,0.3013665930655845,0.1394715186259956,0.02622129123961997,-0.7089544816328198,0.10192453974358974,428.39229358974353,0.0,78.0,0.13159122725151634
Honey,bot,LJL,15,38,0.658,QT DIG∞,69.0,72.4,64.7,59.8,52.5,65.7,6.9,7.2,6.5,6.0,5.2,6.6,165.02631578947367,282.57894736842104,6.657894736842105,605.5441921052632,0.3184157105263158,10.160236842105263,0.6578947368421053,1.5040052631578948,0.4945921052631579,5.184210526315789,0.712890625,0.16030534351145037,0.0,0.23535176944267852,-0.317241335200926,0.0757046645048642,-0.6650657269359576,0.28120526315789474,305.72221315789477,0.0,38.0,-0.2006183062824334
Ssol,bot,LJL,15,63,0.571,Rascal Jester,72.3,69.9,55.1,63.4,55.7,65.5,7.2,7.0,5.5,6.3,5.6,6.5,303.04761904761904,-30.650793650793652,0.6984126984126984,668.9667761904763,0.34841120317460317,9.53387619047619,0.9047619047619048,1.3696555555555556,0.47891269841269846,3.507936507936508,0.8220024721878862,0.20523415977961432,0.0,0.16303900647865122,0.16600231033304585,-0.06006865919333584,-0.8772085768758602,0.292708,317.6976841269841,0.0,63.0,-0.3470383983413913
Keine,mid,LLA,15,36,0.417,XTEN Esports,77.6,73.5,54.2,56.1,44.2,65.3,7.8,7.3,5.4,5.6,4.4,6.5,415.1111111111111,373.3888888888889,15.222222222222221,625.4256194444445,0.31288852777777776,9.859402777777778,0.7222222222222222,1.2282861111111112,0.32000833333333334,6.388888888888889,0.7191011235955056,0.13743218806509946,0.0,0.21339542528420757,0.1635379671909353,-0.6211736851006256,-0.9300574934642488,0.2749588055555556,363.9625305555556,0.0,36.0,-0.21622333421121942
Kaiwing,sup,PCS,15,87,0.644,PSG Talon,63.8,70.2,53.6,69.0,68.8,65.3,6.4,7.0,5.4,6.9,6.9,6.5,178.68965517241378,227.35632183908046,2.8735632183908044,147.78846781609195,0.07509123448275862,1.2524241379310344,0.05747126436781609,2.529490804597701,0.35918620689655173,14.160919540229886,0.7860869565217391,0.17889908256880735,0.0,0.18609972284451845,-0.2897343831573564,-0.39080239087121893,-0.8016410016238255,0.09619396781609195,448.0811505747127,0.0,87.0,-0.0730078645048095
Levi,jng,VCS,15,87,0.747,GAM Esports,74.9,61.2,60.5,54.2,71.0,65.3,7.5,6.1,6.0,5.4,7.1,6.5,262.735632183908,279.4712643678161,5.747126436781609,399.16889540229886,0.16781284827586207,6.0312988505747125,0.45977011494252873,1.5783459770114943,0.35348505747126435,10.620689655172415,0.6919191919191919,0.1987794245858762,0.0,0.18667277116457173,-0.02612707066470968,0.07858565737051791,-0.7858869965801116,0.19316241379310342,750.3525482758621,0.0,87.0,-0.08724739827102035
HolyPhoenix,bot,TCL,15,63,0.667,İstanbul Wildcats,62.3,58.4,76.0,67.8,69.4,65.2,6.2,5.8,7.6,6.8,6.9,6.5,114.39682539682539,229.42857142857142,1.0634920634920635,561.0960507936509,0.2617569047619048,9.019715873015874,1.0793650793650793,1.0591079365079366,0.29712539682539685,3.3492063492063493,0.7194388777555111,0.14,0.0,0.28927274075172366,0.3725655205578267,0.3607838422697765,-0.6534428398625621,0.274145619047619,345.3364507936508,0.0,63.0,0.20026102088167066
Bvoy,bot,LLA,15,29,0.552,Estral Esports,70.2,68.6,69.5,56.1,50.6,65.1,7.0,6.9,7.0,5.6,5.1,6.5,464.51724137931035,364.6896551724138,6.103448275862069,566.9060862068966,0.2972566551724138,9.163541379310345,0.896551724137931,1.5520103448275862,0.43952068965517244,5.0,0.7272727272727273,0.18489583333333334,0.0,0.27580746738641476,0.046433753767161655,0.2068311195445922,-0.8250616964057365,0.2695508620689655,254.61086206896553,0.0,29.0,0.0949612403100775
Gori,mid,PCS,15,64,0.578,FunPlus Phoenix|PSG Talon,70.4,70.2,52.9,60.1,63.2,65.0,7.0,7.0,5.3,6.0,6.3,6.5,183.62857142857143,188.22857142857143,6.2,589.761440625,0.2842645125,8.84145,0.59375,1.025759375,0.2120890625,5.078125,0.7255639097744361,0.20666666666666667,1.896551724137931,0.20531738024424745,-0.05675739419012598,-0.15458241643679688,-0.9735246379879837,0.23819453125,392.35524285714285,0.0,64.0,0.20802408431365277
Secret,sup,LJL,15,63,0.571,Rascal Jester,73.1,68.8,52.1,64.6,53.6,64.9,7.3,6.9,5.2,6.5,5.4,6.5,296.36507936507934,322.0952380952381,4.380952380952381,176.79413333333332,0.09578032539682539,1.267468253968254,0.015873015873015872,2.606695238095238,0.34600000000000003,15.317460317460318,0.8220024721878862,0.22038567493112948,0.0,0.12376448413486923,0.1881247153326987,0.030102273197797225,-0.9465574538819218,0.10316717301587301,426.0917285714286,0.0,63.0,-0.3245468482727
Brance,bot,CBLOL,15,65,0.646,LOUD|LOUD Academy,66.4,62.5,65.2,63.2,65.5,64.6,6.6,6.2,6.5,6.3,6.5,6.5,248.4923076923077,-33.38461538461539,0.26153846153846155,616.5306369230769,0.2797506769230769,8.71158923076923,1.2307692307692308,1.3309292307692309,0.3240584615384616,6.6461538461538465,0.6987951807228916,0.15071507150715072,0.0,0.2802092729568826,-0.24478131683037155,-0.6423049262855088,-0.7046134278749343,0.26286827692307696,297.4636907692308,0.0,65.0,-0.05146483472474651
