player_id,position,league,tier,games,winrate,操作,运营,心态,指挥,体质,适应力,总评,逆风局数,翻盘率,英雄池,_boxz,_impz,_resid,teams,年龄
Monki,jng,LDL,2,107,0.72,52.8,64.3,44.6,62.0,53.1,50.0,73.4,0,0.0,12,0.029,2.555,2.649,EDG Youth Team,18
Solokill,top,LDL,2,110,0.709,51.8,55.9,43.7,68.3,70.6,54.7,72.7,0,0.0,16,-0.121,2.508,2.741,EDG Youth Team,21
pinz,mid,LDL,2,79,0.722,55.9,68.7,46.8,60.1,55.0,49.9,72.6,0,0.0,13,0.187,2.236,2.031,Bilibili Gaming Junior|FunPlus Phoenix Blaze,20
Xiamu,sup,LDL,2,116,0.707,54.9,57.9,43.6,69.3,61.9,50.5,72.3,0,0.0,14,-0.015,2.323,2.435,EDG Youth Team|EDward Gaming,
Leave,bot,LDL,2,118,0.695,59.1,60.7,43.0,58.6,55.5,46.2,71.9,0,0.0,13,0.086,2.168,2.207,EDG Youth Team|EDward Gaming,20
can,jng,LDL,2,74,0.73,51.7,60.8,46.6,70.9,46.9,44.6,71.9,0,0.0,13,-0.082,2.296,2.493,Bilibili Gaming|Bilibili Gaming Junior,
Cyku,mid,LDL,2,67,0.806,49.9,51.7,44.7,63.7,59.1,41.6,71.1,0,0.0,10,-0.273,2.292,2.546,EDG Youth Team,18
Dream,mid,LDL,2,94,0.67,49.9,57.5,43.6,62.3,42.8,50.8,70.7,0,0.0,17,-0.203,2.156,2.34,V5 87|Victory Five,20
Kartis,top,LDL,2,124,0.637,54.7,61.1,43.2,63.9,54.2,50.5,70.5,0,0.0,16,0.006,1.956,2.039,FunPlus Phoenix Blaze,21
Xiaguang,bot,LDL,2,110,0.673,56.2,62.9,40.8,72.3,45.8,49.8,70.2,0,0.0,11,0.043,1.858,1.922,MAX,23
xiaocaobao,mid,LDL,2,93,0.634,55.7,66.4,46.7,56.1,62.7,44.1,69.6,0,0.0,15,0.154,1.674,1.504,Ultra Prime Academy|Young Miracles,20
Rise,bot,LDL,2,86,0.663,54.6,58.3,48.8,57.1,42.4,46.1,69.6,0,0.0,13,-0.053,1.846,2.012,Bilibili Gaming|Bilibili Gaming Junior,20
Medzz,mid,LDL,2,115,0.678,51.1,57.0,42.7,59.8,57.5,58.0,69.6,0,0.0,19,-0.119,1.89,1.991,MAX,19
Kepler,bot,LDL,2,84,0.643,54.0,66.2,44.5,54.5,49.6,45.9,69.1,0,0.0,10,0.075,1.649,1.664,ThunderTalk Gaming|V5 87,20
Myths,top,LDL,2,85,0.659,55.3,50.7,48.9,68.8,47.3,47.9,69.1,0,0.0,15,-0.127,1.825,2.041,Bilibili Gaming Junior,
XinMo,sup,LDL,2,115,0.678,51.1,55.5,40.1,67.9,42.3,57.9,69.0,0,0.0,19,-0.224,1.89,2.201,MAX,22
Bafang,sup,LDL,2,93,0.624,58.5,65.9,43.9,62.9,56.6,59.0,68.9,0,0.0,18,0.182,1.538,1.412,Joy Dream|Team Pinnacle,
Jwei,sup,LDL,2,88,0.648,53.4,53.8,48.3,55.1,47.9,55.6,68.6,0,0.0,17,-0.096,1.71,1.88,Bilibili Gaming|Bilibili Gaming Junior,19
Invincible,top,LDL,2,82,0.646,60.4,62.2,43.1,60.1,45.5,58.4,68.5,0,0.0,19,0.111,1.529,1.489,V5 87|Victory Five,21
Qing,mid,LDL,2,96,0.635,52.8,65.1,44.3,56.3,55.7,49.3,68.4,0,0.0,11,0.031,1.579,1.532,FunPlus Phoenix Blaze,20
KennyChan,jng,LDL,2,109,0.67,50.4,51.0,41.0,64.1,51.9,54.9,68.3,0,0.0,15,-0.246,1.796,2.14,MAX,21
Lele,sup,LDL,2,124,0.629,53.0,48.8,44.3,65.4,58.6,52.1,67.0,0,0.0,16,-0.176,1.546,1.793,FunPlus Phoenix|FunPlus Phoenix Blaze,22
Jerry,sup,LDL,2,66,0.667,50.3,60.3,44.0,58.8,50.1,49.9,66.3,0,0.0,11,-0.132,1.41,1.605,Oh My God|V5 87,21
Shaoye,bot,LDL,2,78,0.615,51.9,63.7,49.5,56.9,59.6,50.4,65.2,0,0.0,14,0.041,1.124,1.14,Young Miracles,21
pzx,jng,LDL,2,75,0.653,51.9,53.7,43.4,65.8,46.9,47.8,65.1,0,0.0,12,-0.2,1.312,1.584,ThunderTalk Gaming Young|V5 87,
Insulator,mid,LDL,2,93,0.613,53.7,64.5,42.6,65.3,52.3,50.3,65.0,0,0.0,17,0.012,1.125,1.098,Joy Dream,22
Maggie,jng,LDL,2,98,0.612,50.2,60.7,43.5,64.0,55.6,53.5,64.4,0,0.0,13,-0.11,1.147,1.316,Joy Dream|Weibo Gaming Youth Team,22
Haoye,jng,LDL,2,101,0.634,48.9,55.1,48.5,53.0,51.6,52.2,64.4,0,0.0,11,-0.18,1.204,1.45,FunPlus Phoenix|FunPlus Phoenix Blaze,19
Hery,top,LDL,2,67,0.597,55.7,62.7,45.9,56.3,44.9,61.9,64.3,0,0.0,16,0.064,0.993,0.983,Ultra Prime|Ultra Prime Academy,21
wind,sup,LDL,2,74,0.622,56.1,55.0,42.9,66.1,73.1,50.0,64.3,0,0.0,17,-0.026,1.064,1.134,Young Miracles,23
Garvey,top,LDL,2,78,0.654,54.6,61.5,42.2,51.1,49.9,46.6,63.9,0,0.0,15,-0.013,1.007,1.077,LGD Gaming|MAX,20
Heng,jng,LDL,2,77,0.623,53.1,61.0,49.1,55.0,68.0,63.0,63.6,0,0.0,17,0.056,0.905,0.888,Team WE|Young Miracles,21
forse,mid,LDL,2,83,0.554,54.0,61.7,47.9,57.3,41.5,51.1,63.0,0,0.0,13,0.026,0.863,0.823,Weibo Gaming Youth Team,21
Xiao17,jng,LDL,2,44,0.659,53.5,59.4,44.3,62.3,59.4,55.8,62.9,0,0.0,13,-0.081,0.933,1.061,Joy Dream|MAX,
Hook,jng,LDL,2,43,0.628,53.4,57.1,44.0,62.3,50.5,55.0,62.8,0,0.0,10,-0.088,0.93,1.065,Team Pinnacle,
yekai,jng,LDL,2,56,0.607,49.6,55.7,50.9,62.6,40.7,50.5,62.7,0,0.0,7,-0.118,0.938,1.105,Ultra Prime Academy,
Thesnake,bot,LDL,2,42,0.619,59.1,67.9,44.5,58.2,63.3,43.1,62.6,0,0.0,5,0.211,0.667,0.472,TEAM ORANGE,
Nayuki,top,LDL,2,72,0.611,51.2,56.7,43.9,62.0,77.9,47.7,62.2,0,0.0,13,-0.07,0.848,0.971,Young Miracles,
XuanLv,bot,LDL,2,32,0.688,51.6,59.7,45.5,67.4,49.4,47.3,62.0,0,0.0,5,-0.091,0.84,0.979,Team Pinnacle,23
TuT,bot,LDL,2,79,0.544,54.3,63.8,41.7,60.9,47.2,55.6,61.9,0,0.0,16,-0.022,0.77,0.83,Joy Dream|Weibo Gaming Youth Team,
Decade,top,LDL,2,46,0.63,54.8,53.7,44.7,61.9,43.4,53.2,61.8,0,0.0,11,-0.09,0.813,0.956,Weibo Gaming Youth Team,
Xingye,bot,LDL,2,79,0.62,52.5,60.3,49.6,47.4,62.7,51.7,61.6,0,0.0,12,0.023,0.699,0.706,FunPlus Phoenix|FunPlus Phoenix Blaze,20
yawang,sup,LDL,2,40,0.525,48.9,53.6,48.0,59.8,60.7,46.0,60.0,0,0.0,6,-0.22,0.722,0.98,LNG Academy,
jiang,bot,LDL,2,25,0.6,56.4,61.3,47.5,57.0,51.1,51.0,59.3,0,0.0,5,0.083,0.393,0.315,FunPlus Phoenix Blaze,22
Liweier,jng,LDL,2,24,0.625,53.5,62.7,49.7,57.7,40.5,53.4,59.1,0,0.0,6,0.013,0.424,0.428,Invictus Gaming Young,
pqy,bot,LDL,2,69,0.565,52.0,58.2,48.8,59.4,40.8,39.6,59.0,0,0.0,6,-0.097,0.508,0.63,Qing Jiu E-sport Club|Ultra Prime Academy,
Yaoyang,top,LDL,2,41,0.659,55.5,50.1,44.1,60.7,47.6,56.1,58.9,0,0.0,13,-0.177,0.566,0.79,MAX,
Shark,bot,LDL,2,71,0.521,50.3,59.2,46.6,52.8,44.9,55.3,58.8,0,0.0,13,-0.09,0.477,0.59,Team Pinnacle|Weibo Gaming Youth Team,21
Wuy,sup,LDL,2,77,0.532,50.9,58.3,43.8,57.9,43.3,55.5,58.7,0,0.0,13,-0.166,0.533,0.726,Weibo Gaming Youth Team,
JiaQi,bot,LDL,2,32,0.594,58.5,61.3,48.9,44.1,43.8,48.1,58.5,0,0.0,8,0.097,0.298,0.2,Top Esports Challenger,18
bat,bot,LDL,2,75,0.533,50.0,59.1,45.3,45.0,62.6,49.7,58.5,0,0.0,11,0.021,0.36,0.346,ThunderTalk Gaming Young,19
Longqi,top,LDL,2,70,0.529,52.2,56.6,41.8,60.6,36.7,47.4,58.4,0,0.0,11,-0.202,0.528,0.777,Team Pinnacle,
Missia,sup,LDL,2,58,0.569,50.5,48.9,49.8,53.6,42.0,51.7,58.3,0,0.0,11,-0.289,0.59,0.914,Ultra Prime Academy,21
xiao7,top,LDL,2,78,0.526,53.8,63.0,42.9,56.9,69.9,55.9,58.2,0,0.0,15,0.045,0.3,0.286,ThunderTalk Gaming Young,
lovely,jng,LDL,2,34,0.588,53.1,53.4,48.5,52.6,57.7,57.1,58.2,0,0.0,10,-0.112,0.438,0.574,Royal Club,21
lcberg,top,LDL,2,47,0.553,53.5,50.5,43.9,66.3,39.9,45.1,58.2,0,0.0,9,-0.249,0.543,0.841,TEAM ORANGE,23
yyy,jng,LDL,2,45,0.578,53.3,54.6,43.1,58.5,73.0,46.2,58.1,0,0.0,10,-0.104,0.413,0.54,TEAM ORANGE,
hulatang,top,LDL,2,55,0.6,55.3,52.4,47.2,58.9,41.7,53.6,58.1,0,0.0,11,-0.095,0.409,0.544,Joy Dream,22
Tangyuan,mid,LDL,2,82,0.512,53.7,64.8,45.8,45.4,48.6,47.7,57.9,0,0.0,13,0.139,0.191,0.039,Royal Club|Royal Never Give Up,18
Xiaoxu,top,LDL,2,79,0.519,56.6,57.8,45.0,46.3,44.0,50.8,57.8,0,0.0,15,-0.041,0.329,0.405,Royal Club,19
Lover11,mid,LDL,2,67,0.522,53.6,59.3,41.8,54.8,40.7,56.5,57.8,0,0.0,20,-0.113,0.394,0.492,Team Pinnacle,21
Niket,sup,LDL,2,27,0.63,55.4,56.3,49.4,44.4,50.2,53.5,57.8,0,0.0,8,-0.041,0.332,0.387,Top Esports Challenger,19
XXX,mid,LDL,2,52,0.558,44.8,55.1,43.2,57.9,50.7,52.8,57.8,0,0.0,14,-0.339,0.577,0.901,TEAM ORANGE,
Asura,bot,LDL,2,38,0.553,55.7,55.6,48.3,68.2,71.0,58.4,57.7,0,0.0,12,0.009,0.28,0.274,Qing Jiu E-sport Club|Royal Club,24
Ashlomailma,sup,LDL,2,41,0.585,53.0,51.0,45.9,55.6,68.3,47.8,57.6,0,0.0,8,-0.074,0.335,0.425,ThunderTalk Gaming Young,
redwall,top,LDL,2,30,0.567,58.4,51.2,47.0,57.7,35.0,50.3,57.5,0,0.0,12,-0.052,0.305,0.392,JD Gaming|Joy Dream,
Moyan,jng,LDL,2,38,0.526,51.7,48.5,50.6,44.6,81.5,46.7,57.4,0,0.0,11,-0.004,0.256,0.269,ThunderTalk Gaming|ThunderTalk Gaming Young,20
PandaC,top,LDL,2,29,0.586,51.3,56.4,48.7,59.1,35.5,45.4,57.1,0,0.0,9,-0.173,0.365,0.579,LNG Academy|LNG Esports,
Zinco,bot,LDL,2,40,0.525,55.7,59.8,48.1,56.2,51.3,54.7,57.0,0,0.0,12,0.005,0.205,0.198,Royal Club|Royal Never Give Up,
JKJK,sup,LDL,2,45,0.578,49.9,53.5,43.9,57.7,48.0,43.1,56.9,0,0.0,8,-0.257,0.413,0.697,TEAM ORANGE,
1xn,bot,LDL,2,58,0.569,56.5,57.5,44.4,44.5,39.3,45.5,56.8,0,0.0,11,-0.039,0.227,0.269,JD Gaming|Joy Dream,18
Realm,mid,LDL,2,32,0.531,51.9,59.4,49.0,53.5,43.9,53.9,56.6,0,0.0,9,-0.085,0.239,0.311,Oh My God Academy,
kelin,bot,LDL,2,26,0.577,50.0,53.8,46.3,58.0,80.7,56.8,56.6,0,0.0,8,-0.143,0.284,0.44,Ultra Prime Academy,
0909,mid,LDL,2,29,0.621,49.3,57.0,49.8,53.8,68.7,52.2,56.4,0,0.0,10,-0.12,0.251,0.357,EDG Youth Team|Oh My God,
Feather,sup,LDL,2,49,0.571,51.2,47.6,44.6,47.1,40.0,47.6,56.4,0,0.0,11,-0.337,0.42,0.787,JD Gaming|Joy Dream,19
Uneasy,bot,LDL,2,66,0.5,53.4,61.1,46.4,44.2,46.0,46.1,56.2,0,0.0,9,-0.052,0.174,0.226,LNG Academy,19
lhyz,jng,LDL,2,39,0.538,49.2,54.3,48.0,58.3,61.3,48.8,56.0,0,0.0,8,-0.208,0.279,0.508,Royal Club,
eight,jng,LDL,2,67,0.552,54.9,54.1,41.6,56.0,55.4,50.8,55.9,0,0.0,9,-0.061,0.146,0.214,Top Esports Challenger,
Clever9,top,LDL,2,23,0.435,52.9,54.8,49.5,57.3,50.4,56.9,55.7,0,0.0,9,-0.13,0.178,0.341,LNG Academy,22
Feikun,mid,LDL,2,72,0.514,53.7,66.6,43.9,61.7,69.9,58.0,55.4,0,0.0,17,0.155,-0.089,-0.256,ThunderTalk Gaming|ThunderTalk Gaming Young,23
Mysun,sup,LDL,2,56,0.518,50.3,49.3,46.9,55.6,67.1,50.3,54.9,0,0.0,14,-0.23,0.177,0.422,Royal Club,
