player_id,position,league,tier,games,winrate,操作,运营,心态,指挥,体质,适应力,总评,逆风局数,翻盘率,英雄池,_boxz,_impz,_resid,teams,年龄
xiaopeng,jng,LDL,2,90,0.633,59.1,56.8,76.2,71.5,63.2,57.4,72.4,2,0.0,17,0.4,2.019,2.133,SinoDragon Gaming,21
Twila,mid,LDL,2,90,0.633,51.4,61.0,69.5,63.1,67.5,57.8,71.7,2,0.0,18,0.208,2.019,2.02,SinoDragon Gaming,20
Changhong,top,LDL,2,83,0.627,60.1,56.8,77.1,68.5,74.6,47.9,71.5,2,0.0,12,0.471,1.769,1.713,SinoDragon Gaming,21
Alone,bot,LDL,2,66,0.697,56.7,55.7,49.9,68.0,54.8,42.6,71.0,0,0.0,8,0.004,2.037,2.642,SinoDragon Gaming,20
Peng,mid,LDL,2,81,0.58,54.7,58.9,44.3,63.2,47.6,52.9,69.9,0,0.0,15,0.019,1.835,2.025,Unlimited Potential,14
Ley,sup,LDL,2,72,0.556,56.3,55.0,49.1,67.2,58.3,61.7,69.2,0,0.0,13,0.03,1.714,1.923,Victorious Gaming,21
Endless,bot,LDL,2,85,0.565,56.4,59.2,44.0,64.4,59.1,65.0,68.7,0,0.0,19,0.042,1.622,2.07,Unlimited Potential,20
Aix,jng,LDL,2,83,0.566,55.1,55.8,44.9,65.6,58.5,58.6,68.1,0,0.0,17,-0.076,1.616,2.229,Unlimited Potential,19
sask,mid,LDL,2,74,0.541,51.1,52.8,49.9,77.2,72.1,60.2,67.2,0,0.0,20,-0.064,1.474,1.726,Victorious Gaming,23
Zhuangzhou,sup,LDL,2,79,0.62,53.9,48.6,48.9,73.1,72.2,48.2,67.2,0,0.0,11,-0.121,1.519,1.876,TyLoo,22
Biubiu,top,LDL,2,70,0.643,55.9,60.6,50.3,62.2,47.4,59.3,66.8,0,0.0,16,0.038,1.332,1.708,Suning-S,19
Weiwei,jng,LDL,2,39,0.744,57.2,53.8,51.8,62.9,55.0,59.5,66.8,0,0.0,13,-0.008,1.378,1.826,Suning-S,18
Clowz,top,LDL,2,80,0.562,58.0,56.4,50.1,68.8,45.5,67.8,66.7,0,0.0,22,0.008,1.351,1.767,OnlyGame,21
Mark,sup,LDL,2,50,0.58,54.4,57.7,60.3,63.9,68.0,53.8,66.5,2,0.0,10,0.067,1.273,1.407,SinoDragon Gaming,21
Korol,top,LDL,2,62,0.532,58.2,46.8,50.5,78.8,58.7,53.0,66.4,0,0.0,14,-0.059,1.359,1.857,Victorious Gaming,24
Dian,mid,LDL,2,70,0.643,56.7,53.2,50.0,73.1,55.9,60.7,66.2,0,0.0,18,-0.048,1.332,1.556,Suning-S,22
l3est16,jng,LDL,2,80,0.562,54.7,54.0,50.6,63.3,52.5,47.8,66.2,0,0.0,12,-0.085,1.351,1.893,OnlyGame,17
Babi9,bot,LDL,2,68,0.647,54.5,54.2,49.9,72.2,61.9,60.0,66.1,0,0.0,15,-0.061,1.329,1.83,Suning-S,21
MaiX,mid,LDL,2,47,0.596,61.5,58.5,50.8,56.0,68.2,51.9,65.9,0,0.0,14,0.184,1.093,1.051,Rogue Warriors|Royal Club,19
Tank,mid,LDL,2,80,0.562,55.4,51.5,49.8,77.1,42.7,58.2,65.9,0,0.0,19,-0.126,1.351,1.661,OnlyGame,23
chen9,mid,LDL,2,40,0.6,55.3,55.0,51.1,76.5,54.5,63.0,65.5,0,0.0,17,-0.029,1.219,1.415,Moss Seven Club,23
X41007,bot,LDL,2,40,0.575,55.3,54.9,51.0,61.0,65.1,55.8,65.3,0,0.0,11,-0.012,1.182,1.582,Moss Seven Club,
Sora,sup,LDL,2,70,0.643,55.5,47.1,49.1,66.1,48.5,56.3,65.3,0,0.0,11,-0.193,1.332,1.752,Suning-S,21
ZIV,bot,LDL,2,34,0.676,55.4,57.5,51.3,76.4,51.9,51.4,64.9,0,0.0,10,0.031,1.092,1.414,TyLoo,22
Xiaguang,bot,LDL,2,68,0.603,58.0,51.4,49.9,60.3,72.2,54.3,64.7,0,0.0,13,-0.013,1.107,1.489,Team Fighter,19
Rashomon,sup,LDL,2,75,0.56,53.8,43.1,49.0,67.2,44.7,53.3,64.7,0,0.0,12,-0.328,1.36,1.928,OnlyGame,
beishang,jng,LDL,2,43,0.558,58.1,54.6,51.6,59.0,78.0,54.6,64.6,0,0.0,11,0.055,1.036,1.294,Moss Seven Club,18
Leyan,jng,LDL,2,34,0.647,60.0,53.1,52.0,58.4,63.7,47.4,64.3,0,0.0,7,0.064,0.983,1.213,WuDu,16
Wei,jng,LDL,2,44,0.591,60.2,48.2,51.6,59.4,62.7,51.1,63.9,0,0.0,11,-0.015,0.999,1.338,Young Miracles,16
Angel,mid,LDL,2,79,0.582,47.8,60.2,57.8,57.3,60.1,54.6,63.9,4,0.25,18,-0.045,1.024,1.223,Suning|TyLoo,18
Xintai,sup,LDL,2,54,0.611,52.3,59.6,61.0,74.6,61.3,49.5,63.6,5,0.2,10,0.039,0.919,1.056,Unlimited Potential|Vici Gaming,23
Sundae,top,LDL,2,52,0.635,53.7,46.3,50.9,63.2,39.6,56.2,63.5,0,0.0,15,-0.259,1.16,1.858,Team Fighter,
1874,sup,LDL,2,40,0.675,52.8,50.4,50.4,64.0,47.5,57.8,63.1,0,0.0,9,-0.184,1.042,1.429,Victory Song Gaming,
Brave,jng,LDL,2,71,0.592,51.4,53.7,50.8,61.1,43.4,45.9,62.8,0,0.0,11,-0.189,1.008,1.578,Team Fighter,18
Meteor,jng,LDL,2,67,0.597,59.6,53.0,50.9,57.4,49.1,63.0,62.6,0,0.0,16,0.009,0.824,1.076,Victory Song Gaming,19
GuYueXin,jng,LDL,2,72,0.597,51.9,57.0,50.7,72.8,47.1,51.8,62.6,0,0.0,14,-0.058,0.887,1.247,TyLoo,22
JeffLee,top,LDL,2,45,0.644,54.9,50.3,51.1,59.9,44.3,59.6,62.0,0,0.0,15,-0.144,0.888,1.394,Moss Seven Club,19
Yang,mid,LDL,2,67,0.552,57.7,49.2,50.1,79.7,56.8,46.1,61.9,0,0.0,15,-0.081,0.817,1.04,SHEINOO,25
Wuxx,bot,LDL,2,60,0.517,55.5,56.1,50.1,75.1,55.1,60.6,61.9,0,0.0,14,0.022,0.732,0.972,Victorious Gaming,22
chenlun17,top,LDL,2,36,0.611,55.7,55.2,51.6,57.6,38.0,43.9,61.2,0,0.0,9,-0.057,0.717,1.085,WuDu,17
Viod,mid,LDL,2,30,0.6,53.8,53.8,51.7,55.7,41.2,56.8,61.1,0,0.0,13,-0.118,0.754,1.012,Moss Seven Club,
Zhaoyun,top,LDL,2,23,0.522,52.4,49.8,52.4,58.4,79.7,49.2,61.1,0,0.0,6,-0.108,0.748,1.183,Rogue Warriors Shark,17
