player_id,position,league,tier,games,winrate,操作,运营,心态,指挥,体质,适应力,总评,逆风局数,翻盘率,英雄池,_boxz,_impz,_resid,teams,年龄
GALA,bot,LPL,1,156,0.667,72.0,53.4,57.8,60.4,66.3,53.1,75.8,5,0.2,16,0.517,2.95,1.736,Royal Never Give Up,21
Xiaohu,mid,LPL,1,156,0.667,68.6,61.3,57.9,73.9,47.6,57.3,75.7,5,0.2,19,0.469,2.95,1.864,Royal Never Give Up,24
Wei,jng,LPL,1,162,0.66,66.8,57.1,61.9,54.6,49.1,53.3,75.6,5,0.2,18,0.381,2.961,2.009,Royal Never Give Up,20
Ming,sup,LPL,1,156,0.667,67.6,53.9,58.4,69.8,59.2,51.2,75.6,5,0.2,21,0.391,2.95,1.831,Royal Never Give Up,24
369,top,LPL,1,121,0.669,74.7,59.1,69.3,55.7,59.7,56.3,75.2,2,0.0,19,0.76,2.496,1.244,JD Gaming,21
Knight,mid,LPL,1,128,0.633,73.7,64.5,46.7,63.5,74.7,55.4,74.9,1,0.0,19,0.627,2.511,1.387,Top Esports,22
Kanavi,jng,LPL,1,121,0.669,74.7,61.7,51.5,63.2,62.6,57.2,74.9,2,0.0,18,0.656,2.496,1.388,JD Gaming,22
JackeyLove,bot,LPL,1,128,0.633,73.7,58.6,45.5,64.1,72.8,57.9,74.7,1,0.0,17,0.537,2.511,1.367,Top Esports,22
MISSING,sup,LPL,1,121,0.669,60.2,56.8,59.4,56.3,44.5,48.0,73.6,2,0.0,16,0.162,2.496,1.655,JD Gaming,21
Mark,sup,LPL,1,115,0.661,54.4,63.9,47.1,72.3,63.7,52.8,73.3,1,0.0,14,0.066,2.501,1.734,Top Esports,25
Yagao,mid,LPL,1,135,0.674,37.5,61.3,51.0,75.8,57.6,45.8,73.2,2,0.0,15,-0.364,2.826,2.43,Bilibili Gaming|JD Gaming,24
Hope,bot,LPL,1,120,0.683,43.0,56.8,50.3,68.5,42.1,42.2,72.1,2,0.0,11,-0.319,2.528,2.069,JD Gaming|Team WE,22
Photic,bot,LPL,1,102,0.657,58.4,63.8,43.4,50.4,51.4,60.6,71.6,0,0.0,18,0.143,2.044,1.308,Victory Five,20
Wayward,top,LPL,1,112,0.661,48.1,50.7,49.5,61.3,46.6,57.2,71.5,1,0.0,20,-0.277,2.382,2.008,Top Esports,21
Rich,top,LPL,1,96,0.667,57.0,54.8,44.6,71.9,55.7,62.6,71.1,0,0.0,21,-0.011,2.081,1.538,Victory Five,24
Tian,jng,LPL,1,117,0.65,45.5,53.8,48.7,67.2,55.5,51.3,70.9,1,0.0,12,-0.301,2.275,2.006,Top Esports,22
Bin,top,LPL,1,140,0.621,67.6,49.3,48.9,49.8,41.1,47.0,70.4,2,0.0,17,0.132,1.83,1.212,Bilibili Gaming|Royal Never Give Up,19
ppgod,sup,LPL,1,99,0.667,51.6,47.4,45.2,60.9,69.1,52.7,70.4,0,0.0,16,-0.22,2.108,1.65,Victory Five,22
Viper,bot,LPL,1,119,0.605,55.3,69.0,47.2,61.4,65.6,57.8,70.0,1,0.0,17,0.217,1.692,0.965,EDward Gaming,22
Scout,mid,LPL,1,119,0.605,60.4,58.4,53.8,70.7,54.6,53.7,69.7,1,0.0,17,0.14,1.692,1.122,EDward Gaming,24
Breathe,top,LPL,1,134,0.59,55.1,58.9,68.8,53.0,46.4,55.2,68.8,3,0.333,19,0.196,1.508,0.892,Bilibili Gaming|Royal Never Give Up,21
Meiko,sup,LPL,1,119,0.605,53.8,51.8,46.9,66.5,53.7,58.1,68.3,1,0.0,17,-0.134,1.692,1.256,EDward Gaming,24
Rookie,mid,LPL,1,85,0.635,57.8,60.1,44.4,60.2,62.5,66.6,66.9,0,0.0,21,0.056,1.343,0.91,Victory Five,22
Summit,top,LPL,1,60,0.567,75.2,57.6,52.5,61.8,76.3,56.9,65.7,5,0.0,16,0.648,0.685,-0.164,Cloud9|FunPlus Phoenix,24
Flandre,top,LPL,1,107,0.598,48.2,56.7,49.1,69.3,61.7,58.9,65.5,1,0.0,22,-0.149,1.318,1.02,EDward Gaming,24
