player_id,position,league,tier,games,winrate,操作,运营,心态,指挥,体质,适应力,总评,逆风局数,翻盘率,英雄池,_boxz,_impz,_resid,teams,年龄
Tarzan,jng,LPL,1,183,0.639,72.1,59.9,51.9,75.0,45.7,55.8,74.0,4,0.0,20,0.501,2.319,1.499,Anyone's Legend,26
Kanavi,jng,LPL,1,200,0.625,70.5,61.7,48.2,72.1,55.9,64.9,73.7,4,0.0,28,0.437,2.286,1.526,Hanwha Life Esports|Top Esports,25
Kael,sup,LPL,1,183,0.639,64.4,65.9,50.4,52.0,46.4,66.2,73.5,4,0.0,21,0.361,2.319,1.406,Anyone's Legend,21
Flandre,top,LPL,1,183,0.639,54.9,66.6,48.5,75.6,41.0,68.0,72.7,4,0.0,30,0.109,2.319,1.614,Anyone's Legend,27
Hope,bot,LPL,1,183,0.639,49.6,68.0,47.6,72.1,41.5,53.1,72.4,4,0.0,16,0.019,2.319,1.803,Anyone's Legend,25
Knight,mid,LPL,1,180,0.617,63.0,63.6,50.3,71.6,55.7,66.2,72.2,2,0.0,28,0.269,2.083,1.394,Bilibili Gaming,25
369,top,LPL,1,183,0.623,64.2,55.3,46.8,65.6,54.0,57.8,71.3,2,0.0,19,0.124,2.002,1.351,Top Esports,24
Creme,mid,LPL,1,183,0.623,60.6,58.3,47.2,61.0,55.9,48.0,71.1,2,0.0,19,0.071,2.002,1.485,Top Esports,22
Elk,bot,LPL,1,190,0.605,61.4,61.2,53.1,65.4,45.7,55.1,71.0,3,0.0,20,0.202,1.889,1.27,Bilibili Gaming|Weibo Gaming,24
JackeyLove,bot,LPL,1,183,0.623,49.3,64.5,48.9,71.2,53.8,53.9,70.5,2,0.0,20,-0.068,2.002,1.603,Top Esports,25
ON,sup,LPL,1,189,0.603,61.7,57.7,48.7,55.5,38.2,59.2,70.4,4,0.0,21,0.116,1.85,1.226,Bilibili Gaming,22
Bin,top,LPL,1,189,0.603,59.1,55.8,50.4,55.9,53.3,51.2,70.4,4,0.0,19,0.1,1.85,1.249,Bilibili Gaming,22
