player_id,position,league,tier,games,winrate,操作,运营,心态,指挥,体质,适应力,总评,逆风局数,翻盘率,英雄池,_boxz,_impz,_resid,teams,年龄
Keria,sup,LCK,1,144,0.743,73.3,54.3,65.9,55.0,51.8,74.3,77.0,10,0.2,34,0.586,3.482,2.096,T1,20
Chovy,mid,LCK,1,104,0.76,74.0,71.0,65.2,60.7,41.4,46.4,76.9,14,0.286,13,0.89,3.175,1.707,Gen.G,21
Ruler,bot,LCK,1,107,0.757,66.8,65.2,67.5,76.1,48.3,69.4,76.9,14,0.286,20,0.576,3.432,2.076,Gen.G,24
Zeus,top,LCK,1,144,0.743,73.1,54.6,62.3,57.7,48.4,57.9,76.9,10,0.2,22,0.513,3.482,2.265,T1,20
Oner,jng,LCK,1,144,0.743,69.4,55.0,65.4,57.8,45.3,56.4,76.7,10,0.2,17,0.407,3.482,2.424,T1,20
Eyla,sup,LCSA,2,108,0.75,60.7,63.6,71.7,75.0,74.5,55.2,76.6,9,0.444,18,0.472,3.361,3.01,Team Liquid|Team Liquid Academy,23
Gumayusi,bot,LCK,1,144,0.743,61.4,56.5,63.0,58.7,55.8,65.8,76.4,10,0.2,19,0.222,3.482,2.401,T1,20
Peanut,jng,LCK,1,107,0.757,57.5,57.5,62.5,76.5,54.4,67.9,76.0,14,0.286,20,0.217,3.29,2.423,Gen.G,24
Lehends,sup,LCK,1,107,0.757,60.0,52.4,67.8,71.9,52.3,64.0,76.0,14,0.286,20,0.2,3.303,2.259,Gen.G,24
Yike,jng,LFL,2,101,0.733,66.1,57.0,76.4,71.0,64.8,55.5,75.9,7,0.571,17,0.542,2.944,2.518,LDLC OL,22
Doran,top,LCK,1,108,0.75,60.9,53.3,63.8,63.7,46.0,58.0,75.9,14,0.286,19,0.193,3.263,2.348,Gen.G,21
Faker,mid,LCK,1,144,0.743,55.0,49.6,59.8,79.3,43.1,61.5,75.9,10,0.2,24,-0.102,3.482,2.745,T1,26
GALA,bot,LPL,1,156,0.667,72.0,53.4,57.8,60.4,66.3,53.1,75.8,5,0.2,16,0.517,2.95,1.736,Royal Never Give Up,21
Eika,mid,LFL,2,101,0.733,62.8,59.5,75.4,80.0,59.8,60.9,75.8,7,0.571,22,0.485,2.944,2.44,LDLC OL,26
Xiaohu,mid,LPL,1,156,0.667,68.6,61.3,57.9,73.9,47.6,57.3,75.7,5,0.2,19,0.469,2.95,1.864,Royal Never Give Up,24
