player_id,position,league,tier,games,winrate,操作,运营,心态,指挥,体质,适应力,总评,逆风局数,翻盘率,英雄池,_boxz,_impz,_resid,teams,年龄
Doinb,mid,LPL,1,106,0.774,66.4,65.9,63.1,76.0,51.4,70.9,76.3,9,0.222,32,0.508,3.152,2.034,FunPlus Phoenix,23
Tian,jng,LPL,1,106,0.774,74.7,53.8,57.7,60.9,53.5,51.3,76.3,9,0.222,14,0.553,3.152,2.077,FunPlus Phoenix,19
Lwx,bot,LPL,1,106,0.774,67.9,50.5,54.1,63.8,71.2,51.2,75.9,9,0.222,12,0.292,3.152,1.993,FunPlus Phoenix,21
Clid,jng,LCK,1,137,0.701,62.7,67.4,58.0,60.6,45.4,47.1,75.6,21,0.19,15,0.391,2.94,2.034,Gen.G|SK Telecom T1,20
Crisp,sup,LPL,1,106,0.774,62.8,52.6,60.7,64.5,51.0,54.9,75.6,9,0.222,14,0.171,3.152,2.438,FunPlus Phoenix,21
GimGoon,top,LPL,1,106,0.774,55.4,55.8,60.6,78.2,59.8,65.8,75.5,9,0.222,25,0.109,3.152,2.576,FunPlus Phoenix,24
Zeros,top,VCS,15,84,0.667,76.3,58.2,58.3,57.2,40.5,51.9,75.1,12,0.25,17,0.697,2.519,1.808,GAM Esports|Phong Vũ Buffalo,19
Evi,top,LJL,15,59,0.814,65.3,62.5,69.8,76.2,52.4,53.9,75.0,7,0.429,17,0.484,2.657,2.153,DetonatioN FocusMe,24
Gaeng,sup,LJL,15,59,0.814,64.5,60.5,72.5,72.7,50.2,64.7,75.0,7,0.429,16,0.466,2.657,2.258,DetonatioN FocusMe,23
Frozen,top,LPLOL,3,56,0.857,65.0,45.5,43.3,72.2,43.0,51.4,75.0,0,0.0,16,-0.022,3.082,3.981,For The Win Esports,20
Chovy,mid,LCK,1,105,0.705,66.6,63.8,42.7,57.7,46.1,59.3,74.9,6,0.0,28,0.332,2.749,1.842,Griffin|Kiwoom DRX,18
Morgan,top,LDL,2,59,0.78,64.3,58.1,74.6,68.3,62.5,62.4,74.9,7,0.714,19,0.48,2.632,2.835,JD Gaming|Joy Dream,18
Teddy,bot,LCK,1,137,0.686,58.5,61.6,62.4,62.5,47.1,59.1,74.9,22,0.182,18,0.227,2.826,1.798,SK Telecom T1|T1,21
Yutapon,bot,LJL,15,59,0.814,65.0,58.7,67.8,76.1,53.8,59.6,74.8,7,0.429,14,0.406,2.657,2.47,DetonatioN FocusMe,23
Mikyx,sup,LEC,1,84,0.714,64.9,58.2,51.7,61.3,50.0,62.1,74.7,15,0.133,17,0.277,2.733,1.98,G2 Esports,21
Faker,mid,LCK,1,136,0.691,57.3,53.9,56.8,76.6,47.4,61.9,74.7,21,0.19,27,0.026,2.917,2.242,SK Telecom T1|T1,23
Khan,top,LCK,1,134,0.687,62.1,61.3,56.1,74.1,44.7,53.6,74.6,22,0.182,20,0.29,2.696,1.984,SK Telecom T1,23
Snow,bot,LDL,2,53,0.755,68.9,59.0,40.7,69.4,62.6,55.4,74.5,2,0.0,10,0.305,2.65,2.966,Vici Gaming Potential,20
Jankos,jng,LEC,1,86,0.698,68.4,56.3,53.1,74.6,52.0,49.5,74.3,16,0.125,13,0.364,2.515,1.687,G2 Esports,24
Lehends,sup,LCK,1,107,0.682,73.3,64.4,40.6,57.4,46.7,66.5,74.2,7,0.0,21,0.517,2.364,1.448,Griffin|Hanwha Life Esports,21
Steal,jng,LJL,15,59,0.814,52.5,61.3,67.4,69.3,54.8,61.5,74.1,7,0.429,17,0.152,2.657,2.572,DetonatioN FocusMe,21
Ming,sup,LPL,1,107,0.645,65.0,64.9,68.0,57.2,55.1,57.6,74.0,10,0.4,18,0.516,2.328,1.418,Royal Never Give Up,21
LokeN,bot,LPL,1,108,0.639,50.6,53.9,61.6,63.7,48.0,62.4,73.9,23,0.217,17,-0.07,2.763,1.973,JD Gaming|Top Esports,21
Caps,mid,LEC,1,86,0.698,68.2,49.1,52.3,56.9,54.5,65.6,73.8,16,0.125,28,0.216,2.515,1.742,G2 Esports,20
xiaohan,jng,LDL,2,77,0.688,69.6,63.4,62.9,61.3,50.9,58.6,73.7,10,0.3,17,0.564,2.193,2.102,JD Gaming|Joy Dream|Victory Five,20
Perkz,bot,LEC,1,86,0.698,65.3,52.4,51.3,61.1,64.3,66.8,73.7,16,0.125,20,0.174,2.515,1.606,G2 Esports,21
Wunder,top,LEC,1,87,0.701,66.4,46.9,55.5,63.9,51.2,70.4,73.6,16,0.125,29,0.144,2.515,1.951,G2 Esports,21
Xiaohu,mid,LPL,1,107,0.645,59.9,55.9,69.3,63.2,65.3,62.9,73.3,10,0.4,24,0.274,2.328,1.535,Royal Never Give Up,21
huanfeng,bot,LDL,2,110,0.682,67.1,60.8,59.5,65.0,54.7,52.8,73.1,14,0.214,16,0.409,2.159,2.226,Invictus Gaming Young,18
Uzi,bot,LPL,1,88,0.636,72.5,65.7,68.0,78.5,63.4,49.4,73.0,7,0.286,12,0.773,1.852,0.666,Royal Never Give Up,28
Shrimp,jng,CBLOL,15,63,0.762,68.0,64.3,55.6,79.2,47.2,60.0,72.9,5,0.2,16,0.486,2.056,1.602,Flamengo MDL,26
Ruin,top,LCS,1,68,0.691,70.0,54.8,58.3,75.0,34.0,56.0,72.9,11,0.182,22,0.422,2.105,1.312,CLG Academy|Counter Logic Gaming|Fenerbahçe Esports,24
Keith,bot,LCSA,2,53,0.736,65.5,54.5,72.9,75.1,62.3,58.7,72.9,4,0.5,14,0.403,2.127,2.194,Cloud9|Cloud9 Academy|Golden Guardians Academy,22
Plasma,sup,LPLOL,3,56,0.857,74.5,57.9,49.7,56.4,55.8,63.8,72.8,0,0.0,19,0.546,1.984,2.065,For The Win Esports,20
Luci,sup,CBLOL,15,60,0.783,65.5,57.9,51.7,67.3,48.9,47.6,72.7,4,0.25,10,0.283,2.185,1.951,Flamengo MDL,22
koughi,jng,LHE,2,40,0.825,58.7,52.2,66.1,65.1,62.1,61.9,72.3,4,0.5,16,0.126,2.201,2.659,Azules Esports|Dark Horse,20
TheShy,top,LPL,1,112,0.634,76.7,46.2,58.5,48.7,66.8,65.3,72.2,19,0.211,25,0.609,1.796,0.851,Invictus Gaming,20
Nuguri,top,LCK,1,106,0.613,71.9,61.8,62.9,48.4,50.6,50.0,72.1,22,0.273,18,0.627,1.764,0.804,Dplus Kia,20
Armut,top,TCL,15,60,0.717,65.1,61.2,57.2,61.2,51.1,59.3,72.1,10,0.1,19,0.39,1.959,1.56,Royal Youth,21
