player_id,position,league,tier,games,winrate,操作,运营,心态,指挥,体质,适应力,总评,逆风局数,翻盘率,英雄池,_boxz,_impz,_resid,teams,年龄
Chovy,mid,LCK,1,124,0.726,74.2,68.1,73.4,71.3,48.4,56.8,76.2,10,0.5,22,0.932,2.778,1.723,Gen.G,25
Knight,mid,LPL,1,173,0.717,77.2,61.5,64.0,73.9,48.9,63.3,76.0,9,0.333,25,0.882,2.722,1.718,Bilibili Gaming,26
Kiin,top,LCK,1,124,0.726,73.2,61.8,74.7,75.2,42.8,64.2,75.9,10,0.5,25,0.749,2.778,1.718,Gen.G,27
Viper,bot,LPL,1,173,0.717,64.9,65.5,63.6,74.2,60.7,63.2,75.1,9,0.333,25,0.464,2.722,2.143,Bilibili Gaming,26
Ruler,bot,LCK,1,124,0.726,61.6,59.9,72.1,78.1,46.6,61.4,75.1,10,0.5,21,0.374,2.778,2.292,Gen.G,28
Canyon,jng,LCK,1,124,0.726,58.9,56.7,74.5,73.5,46.8,57.0,75.0,10,0.5,16,0.322,2.778,2.212,Gen.G,25
ON,sup,LPL,1,173,0.717,63.7,60.4,66.6,62.1,54.4,49.6,74.9,9,0.333,23,0.381,2.722,2.07,Bilibili Gaming,23
Xun,jng,LPL,1,173,0.717,61.9,51.3,65.4,70.2,68.7,57.6,74.5,9,0.333,21,0.214,2.722,2.261,Bilibili Gaming,24
Duro,sup,LCK,1,124,0.726,52.9,58.4,69.2,68.5,47.9,55.2,74.3,10,0.5,21,0.072,2.778,2.417,Gen.G,24
Bin,top,LPL,1,143,0.72,69.7,52.1,67.4,62.9,40.5,51.4,74.1,8,0.375,19,0.411,2.43,1.71,Bilibili Gaming,23
Peyz,bot,LCK,1,151,0.636,74.4,58.6,49.1,50.3,54.2,68.2,73.6,24,0.167,26,0.54,2.175,1.503,T1,21
SkewMond,jng,LEC,1,128,0.656,69.4,62.1,70.7,53.6,49.5,58.0,73.5,18,0.389,19,0.59,2.119,1.324,G2 Esports,22
Caps,mid,LEC,1,128,0.656,70.1,55.9,71.4,75.2,42.6,58.2,73.3,18,0.389,21,0.53,2.119,1.469,G2 Esports,27
Zeka,mid,LCK,1,135,0.63,68.0,60.9,56.9,67.1,55.3,52.2,73.1,14,0.143,21,0.439,2.135,1.575,Hanwha Life Esports,24
Kanavi,jng,LCK,1,135,0.63,70.7,56.2,58.1,73.7,48.7,52.0,73.0,14,0.143,20,0.415,2.135,1.507,Hanwha Life Esports,26
Keria,sup,LCK,1,151,0.636,70.8,52.9,51.5,63.3,45.9,67.3,72.9,24,0.167,26,0.339,2.175,1.588,T1,24
Zeus,top,LCK,1,135,0.63,68.2,52.8,56.0,65.9,46.8,65.5,72.5,14,0.143,29,0.282,2.135,1.557,Hanwha Life Esports,24
Oner,jng,LCK,1,148,0.642,62.0,54.7,54.8,68.5,44.0,57.7,72.5,24,0.167,21,0.11,2.275,1.933,T1,24
Hans Sama,bot,LEC,1,128,0.656,59.6,55.8,66.0,75.3,54.4,57.7,72.1,18,0.389,20,0.187,2.119,1.807,G2 Esports,27
Gumayusi,bot,LCK,1,135,0.63,61.9,55.3,54.3,66.8,54.3,57.7,72.0,14,0.143,21,0.135,2.135,1.878,Hanwha Life Esports,24
BrokenBlade,top,LEC,1,128,0.656,52.2,59.6,72.0,72.8,47.1,65.2,72.0,18,0.389,28,0.153,2.119,1.661,G2 Esports,26
Delight,sup,LCK,1,129,0.628,58.4,61.1,56.9,63.3,49.4,51.4,71.8,14,0.143,18,0.204,2.047,1.595,Hanwha Life Esports,24
Doran,top,LCK,1,151,0.636,58.4,51.1,58.5,70.7,50.7,58.9,71.8,24,0.167,27,0.039,2.175,1.816,T1,25
