year,split,league_short,league_full,region,tier,tournament,date_start,team,team_short,role,player_id,name_cn,real_name,country,residency,birthdate,is_retired,roster_link
2024,Summer,LCK,LoL Champions Korea,韩国,一级联赛,LCK 2024 Summer Playoffs,2024-08-23,BNK FEARX,,Top,Clear,송현민,Song Hyeon-min,South Korea,Korea,2002-12-19,0,Clear (Song Hyeon-min)
2024,Summer,LCK,LoL Champions Korea,韩国,一级联赛,LCK 2024 Summer Playoffs,2024-08-23,BNK FEARX,,Jungle,Raptor,전어진,Jeon Eo-jin,South Korea,Korea,2004-11-15,0,Raptor (Jeon Eo-jin)
2024,Summer,LCK,LoL Champions Korea,韩国,一级联赛,LCK 2024 Summer Playoffs,2024-08-23,BNK FEARX,,Mid,Clozer,이주현,Lee Ju-hyeon,South Korea,Korea,2003-07-27,0,Clozer
2024,Summer,LCK,LoL Champions Korea,韩国,一级联赛,LCK 2024 Summer Playoffs,2024-08-23,BNK FEARX,,Bot,Hena,박증환,Park Jeung-hwan,South Korea,Korea,1999-10-08,0,Hena
2024,Summer,LCK,LoL Champions Korea,韩国,一级联赛,LCK 2024 Summer Playoffs,2024-08-23,BNK FEARX,,Support,Duro,주민규,Joo Min-kyu,South Korea,Korea,2002-02-04,0,Duro
2024,Summer,LCK,LoL Champions Korea,韩国,一级联赛,LCK 2024 Summer Playoffs,2024-08-23,BNK FEARX,,Coach,Ryu,류상욱,Ryu Sang-wook,South Korea,Korea,1994-01-28,0,Ryu
2024,Summer,LCK,LoL Champions Korea,韩国,一级联赛,LCK 2024 Summer Playoffs,2024-08-23,BNK FEARX,,Coach,DooTi,최두성,Choi Du-seong,South Korea,Korea,1991-11-03,0,DooTi
2024,Summer,LCK,LoL Champions Korea,韩国,一级联赛,LCK 2024 Summer,2024-06-12,BNK FEARX,,Top,Clear,송현민,Song Hyeon-min,South Korea,Korea,2002-12-19,0,Clear (Song Hyeon-min)
2024,Summer,LCK,LoL Champions Korea,韩国,一级联赛,LCK 2024 Summer,2024-06-12,BNK FEARX,,Jungle,Raptor,전어진,Jeon Eo-jin,South Korea,Korea,2004-11-15,0,Raptor (Jeon Eo-jin)
2024,Summer,LCK,LoL Champions Korea,韩国,一级联赛,LCK 2024 Summer,2024-06-12,BNK FEARX,,Mid,Clozer,이주현,Lee Ju-hyeon,South Korea,Korea,2003-07-27,0,Clozer
2024,Summer,LCK,LoL Champions Korea,韩国,一级联赛,LCK 2024 Summer,2024-06-12,BNK FEARX,,Bot,Hena,박증환,Park Jeung-hwan,South Korea,Korea,1999-10-08,0,Hena
2024,Summer,LCK,LoL Champions Korea,韩国,一级联赛,LCK 2024 Summer,2024-06-12,BNK FEARX,,Support,Execute,이정훈,Lee Jeong-hoon,South Korea,Korea,2000-02-22,0,Execute
2024,Summer,LCK,LoL Champions Korea,韩国,一级联赛,LCK 2024 Summer,2024-06-12,BNK FEARX,,Support,Duro,주민규,Joo Min-kyu,South Korea,Korea,2002-02-04,0,Duro
2024,Summer,LCK,LoL Champions Korea,韩国,一级联赛,LCK 2024 Summer,2024-06-12,BNK FEARX,,Coach,Ryu,류상욱,Ryu Sang-wook,South Korea,Korea,1994-01-28,0,Ryu
2024,Summer,LCK,LoL Champions Korea,韩国,一级联赛,LCK 2024 Summer,2024-06-12,BNK FEARX,,Coach,DooTi,최두성,Choi Du-seong,South Korea,Korea,1991-11-03,0,DooTi
2026,Rounds 1-2,LCK,LoL Champions Korea,韩国,一级联赛,LCK 2026 Rounds 1-2,2026-04-01,BNK FEARX,,Top,Clear,송현민,Song Hyeon-min,South Korea,Korea,2002-12-19,0,Clear (Song Hyeon-min)
2026,Rounds 1-2,LCK,LoL Champions Korea,韩国,一级联赛,LCK 2026 Rounds 1-2,2026-04-01,BNK FEARX,,Jungle,Raptor,전어진,Jeon Eo-jin,South Korea,Korea,2004-11-15,0,Raptor (Jeon Eo-jin)
2026,Rounds 1-2,LCK,LoL Champions Korea,韩国,一级联赛,LCK 2026 Rounds 1-2,2026-04-01,BNK FEARX,,Mid,VicLa,이대광,Lee Dae-kwang,South Korea,Korea,2003-11-27,0,VicLa
2026,Rounds 1-2,LCK,LoL Champions Korea,韩国,一级联赛,LCK 2026 Rounds 1-2,2026-04-01,BNK FEARX,,Mid,Daystar,유지명,Yoo Ji-myeong,South Korea,Korea,2003-09-23,0,Daystar
2026,Rounds 1-2,LCK,LoL Champions Korea,韩国,一级联赛,LCK 2026 Rounds 1-2,2026-04-01,BNK FEARX,,Bot,Diable,남대근,Nam Dae-geun,South Korea,Korea,2007-10-17,0,Diable
2026,Rounds 1-2,LCK,LoL Champions Korea,韩国,一级联赛,LCK 2026 Rounds 1-2,2026-04-01,BNK FEARX,,Bot,Slayer,김진영,Kim Jin-young,South Korea,Korea,2003-04-15,0,Slayer (Kim Jin-young)
2026,Rounds 1-2,LCK,LoL Champions Korea,韩国,一级联赛,LCK 2026 Rounds 1-2,2026-04-01,BNK FEARX,,Bot,Taeyoon,김태윤,Kim Tae-yoon,South Korea,Korea,2002-06-02,0,Taeyoon (Kim Tae-yoon)
2026,Rounds 1-2,LCK,LoL Champions Korea,韩国,一级联赛,LCK 2026 Rounds 1-2,2026-04-01,BNK FEARX,,Support,Kellin,김형규,Kim Hyeong-gyu,South Korea,Korea,2001-02-01,0,Kellin
2026,Rounds 1-2,LCK,LoL Champions Korea,韩国,一级联赛,LCK 2026 Rounds 1-2,2026-04-01,BNK FEARX,,Coach,Edo,박준석,Park Jun-seok,South Korea,Korea,1987-10-14,0,Edo (Park Jun-seok)
2026,Rounds 1-2,LCK,LoL Champions Korea,韩国,一级联赛,LCK 2026 Rounds 1-2,2026-04-01,BNK FEARX,,Coach,Lira,남태유,Nam Tae-yoo,South Korea,Korea,1995-01-15,0,Lira
2026,Rounds 1-2,LCK,LoL Champions Korea,韩国,一级联赛,LCK 2026 Rounds 1-2,2026-04-01,BNK FEARX,,Coach,Rather,신형섭,Shin Hyeong-seop,South Korea,Korea,1996-11-26,0,Rather
2026,Cup,LCK,LoL Champions Korea,韩国,一级联赛,LCK Cup 2026,2026-01-14,BNK FEARX,,Top,Clear,송현민,Song Hyeon-min,South Korea,Korea,2002-12-19,0,Clear (Song Hyeon-min)
2026,Cup,LCK,LoL Champions Korea,韩国,一级联赛,LCK Cup 2026,2026-01-14,BNK FEARX,,Jungle,Raptor,전어진,Jeon Eo-jin,South Korea,Korea,2004-11-15,0,Raptor (Jeon Eo-jin)
2026,Cup,LCK,LoL Champions Korea,韩国,一级联赛,LCK Cup 2026,2026-01-14,BNK FEARX,,Mid,VicLa,이대광,Lee Dae-kwang,South Korea,Korea,2003-11-27,0,VicLa
2026,Cup,LCK,LoL Champions Korea,韩国,一级联赛,LCK Cup 2026,2026-01-14,BNK FEARX,,Bot,Diable,남대근,Nam Dae-geun,South Korea,Korea,2007-10-17,0,Diable
2026,Cup,LCK,LoL Champions Korea,韩国,一级联赛,LCK Cup 2026,2026-01-14,BNK FEARX,,Support,Kellin,김형규,Kim Hyeong-gyu,South Korea,Korea,2001-02-01,0,Kellin
