year,split,league_short,league_full,region,tier,tournament,date_start,team,team_short,role,player_id,name_cn,real_name,country,residency,birthdate,is_retired,roster_link
2024,Spring,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2024 Spring,2024-01-20,100 Thieves,,Top,Sniper,,Rayan Shoura,Canada,North America,2006-11-10,0,Sniper
2024,Spring,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2024 Spring,2024-01-20,100 Thieves,,Jungle,River,김동우,Kim Dong-woo,South Korea,Korea,1999-07-23,1,River (Kim Dong-woo)
2024,Spring,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2024 Spring,2024-01-20,100 Thieves,,Mid,Quid,임현승,Lim Hyeon-seung,South Korea,Korea,2004-04-27,0,Quid
2024,Spring,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2024 Spring,2024-01-20,100 Thieves,,Bot,Meech,,Brandon Choi,Canada,North America,2001-09-19,0,Meech
2024,Spring,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2024 Spring,2024-01-20,100 Thieves,,Support,Eyla,,Bill Nguyen,Australia,North America,1999-08-24,0,Eyla
2024,Spring,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2024 Spring,2024-01-20,100 Thieves,,Coach,Goldenglue,,Greyson&amp;nbsp;Gregory Gilmer,United States,North America,1996-11-23,0,Goldenglue
2024,Spring,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2024 Spring,2024-01-20,100 Thieves,,Coach,Spookz,,Samuel Broadley,Australia,North America,1994-01-19,0,Spookz
2024,Spring,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2024 Spring Playoffs,2024-03-14,100 Thieves,,Top,Sniper,,Rayan Shoura,Canada,North America,2006-11-10,0,Sniper
2024,Spring,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2024 Spring Playoffs,2024-03-14,100 Thieves,,Jungle,River,김동우,Kim Dong-woo,South Korea,Korea,1999-07-23,1,River (Kim Dong-woo)
2024,Spring,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2024 Spring Playoffs,2024-03-14,100 Thieves,,Mid,Quid,임현승,Lim Hyeon-seung,South Korea,Korea,2004-04-27,0,Quid
2024,Spring,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2024 Spring Playoffs,2024-03-14,100 Thieves,,Bot,Meech,,Brandon Choi,Canada,North America,2001-09-19,0,Meech
2024,Spring,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2024 Spring Playoffs,2024-03-14,100 Thieves,,Support,Eyla,,Bill Nguyen,Australia,North America,1999-08-24,0,Eyla
2024,Spring,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2024 Spring Playoffs,2024-03-14,100 Thieves,,Coach,Goldenglue,,Greyson&amp;nbsp;Gregory Gilmer,United States,North America,1996-11-23,0,Goldenglue
2024,Spring,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2024 Spring Playoffs,2024-03-14,100 Thieves,,Coach,Spookz,,Samuel Broadley,Australia,North America,1994-01-19,0,Spookz
2024,Summer,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2024 Summer,2024-06-15,100 Thieves,,Top,Sniper,,Rayan Shoura,Canada,North America,2006-11-10,0,Sniper
2024,Summer,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2024 Summer,2024-06-15,100 Thieves,,Jungle,River,김동우,Kim Dong-woo,South Korea,Korea,1999-07-23,1,River (Kim Dong-woo)
2024,Summer,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2024 Summer,2024-06-15,100 Thieves,,Mid,Quid,임현승,Lim Hyeon-seung,South Korea,Korea,2004-04-27,0,Quid
2024,Summer,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2024 Summer,2024-06-15,100 Thieves,,Bot,Meech,,Brandon Choi,Canada,North America,2001-09-19,0,Meech
2024,Summer,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2024 Summer,2024-06-15,100 Thieves,,Bot,Tomo,,Frank Lam,United States,North America,2001-01-19,0,Tomo
2024,Summer,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2024 Summer,2024-06-15,100 Thieves,,Support,Eyla,,Bill Nguyen,Australia,North America,1999-08-24,0,Eyla
2024,Summer,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2024 Summer,2024-06-15,100 Thieves,,Coach,Goldenglue,,Greyson&amp;nbsp;Gregory Gilmer,United States,North America,1996-11-23,0,Goldenglue
2024,Summer,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2024 Summer,2024-06-15,100 Thieves,,Coach,Spookz,,Samuel Broadley,Australia,North America,1994-01-19,0,Spookz
2024,Summer,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2024 Championship,2024-08-17,100 Thieves,,Top,Sniper,,Rayan Shoura,Canada,North America,2006-11-10,0,Sniper
2024,Summer,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2024 Championship,2024-08-17,100 Thieves,,Jungle,River,김동우,Kim Dong-woo,South Korea,Korea,1999-07-23,1,River (Kim Dong-woo)
2024,Summer,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2024 Championship,2024-08-17,100 Thieves,,Mid,Quid,임현승,Lim Hyeon-seung,South Korea,Korea,2004-04-27,0,Quid
2024,Summer,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2024 Championship,2024-08-17,100 Thieves,,Bot,Tomo,,Frank Lam,United States,North America,2001-01-19,0,Tomo
2024,Summer,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2024 Championship,2024-08-17,100 Thieves,,Support,Eyla,,Bill Nguyen,Australia,North America,1999-08-24,0,Eyla
2024,Summer,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2024 Championship,2024-08-17,100 Thieves,,Coach,Goldenglue,,Greyson&amp;nbsp;Gregory Gilmer,United States,North America,1996-11-23,0,Goldenglue
2024,Summer,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2024 Championship,2024-08-17,100 Thieves,,Coach,Spookz,,Samuel Broadley,Australia,North America,1994-01-19,0,Spookz
2022,Spring,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2022 Spring,2022-02-05,100 Thieves,,Top,Ssumday,김찬호,Kim Chan-ho,South Korea,North America,1996-07-03,0,Ssumday
2022,Spring,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2022 Spring,2022-02-05,100 Thieves,,Jungle,Closer,,Can Çelik,Turkey,EMEA,1998-09-29,0,Closer (Can Çelik)
2022,Spring,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2022 Spring,2022-02-05,100 Thieves,,Mid,Abbedagge,,Felix&amp;nbsp;Alfred Braun,Germany,EMEA,1999-09-10,0,Abbedagge
2022,Spring,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2022 Spring,2022-02-05,100 Thieves,,Bot,FBI,,Ian&amp;nbsp;Victor Huang,Australia,North America,1999-02-11,0,FBI
2022,Spring,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2022 Spring,2022-02-05,100 Thieves,,Support,huhi,최재현,Choi Jae-hyun,France,North America,1995-04-03,0,huhi
2022,Spring,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2022 Spring,2022-02-05,100 Thieves,,Coach,Reapered,복한규,Bok Han-gyu,South Korea,Korea,1992-01-30,0,Reapered
2022,Spring,LCS,League of Legends Championship Series,北美,一级联赛,LCS 2022 Spring,2022-02-05,100 Thieves,,Coach,Freeze,,Aleš Kněžínek,Czech Republic,EMEA,1994-06-06,0,Freeze
