year,split,league_short,league_full,region,tier,tournament,date_start,team,team_short,role,player_id,name_cn,real_name,country,residency,birthdate,is_retired,roster_link
2024,,LDL,LoL Development League,中国二队,二级/青训,LDL 2024 Replacements 1,2024-03-23,Anyone's Legend.Young,,Top,5K,陈国庆,Chen Guo-Qing,China,China,,1,5K
2024,,LDL,LoL Development League,中国二队,二级/青训,LDL 2024 Replacements 1,2024-03-23,Anyone's Legend.Young,,Jungle,dbh,,,,,,,dbh
2024,,LDL,LoL Development League,中国二队,二级/青训,LDL 2024 Replacements 1,2024-03-23,Anyone's Legend.Young,,Mid,Ranchen,,,,,,,Ranchen
2024,,LDL,LoL Development League,中国二队,二级/青训,LDL 2024 Replacements 1,2024-03-23,Anyone's Legend.Young,,Bot,xiaohanbao,杨鼎锡,Yang Ding-Xi,China,China,,0,xiaohanbao
2024,,LDL,LoL Development League,中国二队,二级/青训,LDL 2024 Replacements 1,2024-03-23,Anyone's Legend.Young,,Support,think,姜振邦,Jiang Zhen-Bang,China,China,,1,think
2022,Summer,LDL,LoL Development League,中国二队,二级/青训,LDL 2022 Summer,2022-06-18,Anyone's Legend.Young,,Top,BoWen,张源,Zhang Yuan,China,China,,1,BoWen
2022,Summer,LDL,LoL Development League,中国二队,二级/青训,LDL 2022 Summer,2022-06-18,Anyone's Legend.Young,,Top,Coten,申豪,Shen Hao,China,China,2001-01-18,0,Coten
2022,Summer,LDL,LoL Development League,中国二队,二级/青训,LDL 2022 Summer,2022-06-18,Anyone's Legend.Young,,Jungle,Relife,欧阳锦程,Ou-Yang Jin-Cheng,China,China,2003-08-06,0,Relife
2022,Summer,LDL,LoL Development League,中国二队,二级/青训,LDL 2022 Summer,2022-06-18,Anyone's Legend.Young,,Mid,Erha,施旭烨,Shi Xu-Ye,China,China,2003-09-28,0,Erha
2022,Summer,LDL,LoL Development League,中国二队,二级/青训,LDL 2022 Summer,2022-06-18,Anyone's Legend.Young,,Bot,Hungry,吴奇峰,Wu Qi-Feng,China,China,,1,Hungry
2022,Summer,LDL,LoL Development League,中国二队,二级/青训,LDL 2022 Summer,2022-06-18,Anyone's Legend.Young,,Support,Kaixuan,苏宇凯,Su Yu-Kai,China,China,,1,Kaixuan
2022,Spring,LDL,LoL Development League,中国二队,二级/青训,LDL 2022 Spring,2022-02-11,Anyone's Legend.Young,,Top,Overture,刘扬波,Liu Yang-Bo,China,China,,1,Overture
2022,Spring,LDL,LoL Development League,中国二队,二级/青训,LDL 2022 Spring,2022-02-11,Anyone's Legend.Young,,Jungle,icecoKe,张亚东,Zhang Ya-Dong,China,China,,1,icecoKe
2022,Spring,LDL,LoL Development League,中国二队,二级/青训,LDL 2022 Spring,2022-02-11,Anyone's Legend.Young,,Jungle,Xcheng2,,,,,,,Xcheng2
2022,Spring,LDL,LoL Development League,中国二队,二级/青训,LDL 2022 Spring,2022-02-11,Anyone's Legend.Young,,Mid,Erha,施旭烨,Shi Xu-Ye,China,China,2003-09-28,0,Erha
2022,Spring,LDL,LoL Development League,中国二队,二级/青训,LDL 2022 Spring,2022-02-11,Anyone's Legend.Young,,Mid,Harder,周世灏,Zhou Shi-Hao,China,China,2003-06-06,1,Harder
2022,Spring,LDL,LoL Development League,中国二队,二级/青训,LDL 2022 Spring,2022-02-11,Anyone's Legend.Young,,Bot,Jump,,,,,,,Jump
2022,Spring,LDL,LoL Development League,中国二队,二级/青训,LDL 2022 Spring,2022-02-11,Anyone's Legend.Young,,Bot,Michi,张博艺,Zhang Bo-Yi,China,China,,1,Michi
2022,Spring,LDL,LoL Development League,中国二队,二级/青训,LDL 2022 Spring,2022-02-11,Anyone's Legend.Young,,Support,Kaixuan,苏宇凯,Su Yu-Kai,China,China,,1,Kaixuan
2022,Spring,LDL,LoL Development League,中国二队,二级/青训,LDL 2022 Spring,2022-02-11,Anyone's Legend.Young,,Coach,秋秋,,,,,,,秋秋
2024,Split 2,LDL,LoL Development League,中国二队,二级/青训,LDL 2024 Split 2,2024-04-24,Anyone's Legend.Young,ALY,Top,5K,陈国庆,Chen Guo-Qing,China,China,,1,5K
2024,Split 2,LDL,LoL Development League,中国二队,二级/青训,LDL 2024 Split 2,2024-04-24,Anyone's Legend.Young,ALY,Jungle,dbh,,,,,,,dbh
2024,Split 2,LDL,LoL Development League,中国二队,二级/青训,LDL 2024 Split 2,2024-04-24,Anyone's Legend.Young,ALY,Mid,Ranchen,,,,,,,Ranchen
2024,Split 2,LDL,LoL Development League,中国二队,二级/青训,LDL 2024 Split 2,2024-04-24,Anyone's Legend.Young,ALY,Bot,xiaohanbao,杨鼎锡,Yang Ding-Xi,China,China,,0,xiaohanbao
2024,Split 2,LDL,LoL Development League,中国二队,二级/青训,LDL 2024 Split 2,2024-04-24,Anyone's Legend.Young,ALY,Support,DLX,梁俊坚,Liang Jun-Jian,China,China,,0,DLX
2024,,LDL,LoL Development League,中国二队,二级/青训,LDL 2024 Replacements 2,2024-05-24,Anyone's Legend.Young,ALY,Top,5K,陈国庆,Chen Guo-Qing,China,China,,1,5K
2024,,LDL,LoL Development League,中国二队,二级/青训,LDL 2024 Replacements 2,2024-05-24,Anyone's Legend.Young,ALY,Jungle,dbh,,,,,,,dbh
