year,split,league_short,league_full,region,tier,tournament,date_start,team,team_short,role,player_id,name_cn,real_name,country,residency,birthdate,is_retired,roster_link
2016,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Summer,2016-05-23,2144 Danmu Gaming,,Top,Lies,郭昊天,Guo Hao-Tian,China,China,1997-12-28,1,Lies (Guo Hao-Tian)
2016,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Summer,2016-05-23,2144 Danmu Gaming,,Jungle,Ayue,,,,,,,Ayue
2016,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Summer,2016-05-23,2144 Danmu Gaming,,Jungle,Kar1n,,,,,,,Kar1n
2016,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Summer,2016-05-23,2144 Danmu Gaming,,Mid,Maple (Peng Zi-Wei),,,,,,,Maple (Peng Zi-Wei)
2016,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Summer,2016-05-23,2144 Danmu Gaming,,Mid,Satan,冯思尧,Feng Si-Yao,China,China,,1,Satan (Feng Si-Yao)
2016,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Summer,2016-05-23,2144 Danmu Gaming,,Bot,Natz,이용진,Lee Yong-jin,South Korea,Korea,1996-02-12,1,Natz
2016,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Summer,2016-05-23,2144 Danmu Gaming,,Support,Muyi,杨爽,Yang Shuang,China,China,,1,Muyi
2016,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Summer,2016-05-23,2144 Danmu Gaming,,Support,Naruto,胡彪,Hu Biao,China,China,,1,Naruto (Hu Biao)
2016,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Spring,2016-01-18,2144 Danmu Gaming,,Top,PLL,박재권,Park Jae-gwon,South Korea,Korea,1993-12-03,1,PLL
2016,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Spring,2016-01-18,2144 Danmu Gaming,,"Jungle,Top",fiend,,,,,,,fiend
2016,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Spring,2016-01-18,2144 Danmu Gaming,,Jungle,Ayue,,,,,,,Ayue
2016,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Spring,2016-01-18,2144 Danmu Gaming,,Mid,Satan,冯思尧,Feng Si-Yao,China,China,,1,Satan (Feng Si-Yao)
2016,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Spring,2016-01-18,2144 Danmu Gaming,,Bot,Yjin,,,,,,,Yjin
2016,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Spring,2016-01-18,2144 Danmu Gaming,,Support,minoko,,,,,,,minoko
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer Playoffs,2015-07-22,2144 Danmu Gaming,,Top,Sky,하늘,Ha Neul,South Korea,Korea,,1,Sky (Ha Neul)
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer Playoffs,2015-07-22,2144 Danmu Gaming,,Jungle,Ayue,,,,,,,Ayue
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer Playoffs,2015-07-22,2144 Danmu Gaming,,Mid,DearSatan,,,,,,,DearSatan
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer Playoffs,2015-07-22,2144 Danmu Gaming,,Bot,Yjin,,,,,,,Yjin
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer Playoffs,2015-07-22,2144 Danmu Gaming,,Support,Muyi,杨爽,Yang Shuang,China,China,,1,Muyi
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer,2015-05-26,2144 Danmu Gaming,,Top,Sky,하늘,Ha Neul,South Korea,Korea,,1,Sky (Ha Neul)
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer,2015-05-26,2144 Danmu Gaming,,Jungle,Ayue,,,,,,,Ayue
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer,2015-05-26,2144 Danmu Gaming,,Mid,DearSatan,,,,,,,DearSatan
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer,2015-05-26,2144 Danmu Gaming,,Bot,Yjin,,,,,,,Yjin
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer,2015-05-26,2144 Danmu Gaming,,Support,Muyi,杨爽,Yang Shuang,China,China,,1,Muyi
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer,2015-05-26,2144 Danmu Gaming,,Coach,Bigfafa,,,,,,,Bigfafa
2016,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Summer,2016-05-23,2144 Gaming,,Top,Akira,王祖靓,Wang Zu-Jing,China,China,1993-09-13,1,Akira (Wang Zu-Jing)
2016,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Summer,2016-05-23,2144 Gaming,,Top,Sky,하늘,Ha Neul,South Korea,Korea,,1,Sky (Ha Neul)
