team_id,code,name,slug,league,region_zh,region_en,tier,status,player_count,logo
100205573001435494,PGM,PENTAGRAM,pentagram,LJL,日本赛区,JAPAN,major,active,6,https://lolstatic-a.akamaihd.net/esports-assets/production/team/pentagram-5udx4g7f.png
100205573495116443,GEN,Gen.G Esports,geng,LCK,韩国赛区,KOREA,major,active,11,http://static.lolesports.com/teams/1773829250929_GENGLOGO_GOLD.png
100205573496804586,HLE,Hanwha Life Esports,hanwha-life-esports,LCK,韩国赛区,KOREA,major,active,11,http://static.lolesports.com/teams/1631819564399_hle-2021-worlds.png
100205576307813373,FLA,Flamengo ,flamengo-esports,CBLOL,巴西赛区,BRAZIL,major,archived,3,http://static.lolesports.com/teams/1642953977323_Monograma_Branco-Vermelho.png
100205576309502431,FUR,FURIA,furia,CBLOL,巴西赛区,BRAZIL,major,active,6,http://static.lolesports.com/teams/FURIA---black.png
100205576949530558,BURA,Bursaspor Esports,bursaspor-esports,TCL,EMEA赛区,EMEA,major,archived,3,https://lolstatic-a.akamaihd.net/esports-assets/production/team/bursaspor-esports-fhdw3a5q.png
100285330168091787,DFM,DetonatioN FocusMe,detonation-focusme,LCP,太平洋,PACIFIC,major,active,5,http://static.lolesports.com/teams/1673415140442_dfm.png
100285330169036485,USG,Unsold Stuff Gaming,unsold-stuff-gaming,LJL,日本赛区,JAPAN,major,active,2,https://lolstatic-a.akamaihd.net/esports-assets/production/team/unsold-stuff-gaming-zrbxiqt.png
100289931264192378,TSPT,Team Spirit,team-spirit,LCL,独联体赛区,COMMONWEALTH OF INDEPENDENT STATES,major,archived,0,http://static.lolesports.com/teams/1643720491696_Whitelogo.png
100289931264934834,TJ,Team Just,team-just,LCL,独联体赛区,COMMONWEALTH OF INDEPENDENT STATES,major,archived,6,https://lolstatic-a.akamaihd.net/esports-assets/production/team/team-just-dyp9k92d.png
100289931265914728,VK1,Vikings Gaming,vikings-gaming,VCS,越南赛区,VIETNAM,major,archived,1,https://lolstatic-a.akamaihd.net/esports-assets/production/team/vikings-gaming-ayhe47n0.png
100725845018863243,DK,Dplus KIA,dwg-kia,LCK,韩国赛区,KOREA,major,active,11,http://static.lolesports.com/teams/1673260049703_DPlusKIALOGO11.png
100725845022060229,BFX,BNK FEARX,fearx,LCK,韩国赛区,KOREA,major,active,12,http://static.lolesports.com/teams/1734691810721_BFXfullcolorfordarkbg.png
100783238110621058,DBL,Dashing Buffalo,dashing-buffalo,VCS,越南赛区,VIETNAM,major,archived,1,https://lolstatic-a.akamaihd.net/esports-assets/production/team/phong-vu-buffalo-qwr4rud.png
101383792559569368,AK,All Knights,all-knights,LLA,拉美赛区,LATIN AMERICA,major,active,0,http://static.lolesports.com/teams/AK-Black-BG.png
101383792887446028,MEC,MAMMOTH,mammoth,LCO,大洋洲赛区,OCEANIA,major,active,10,http://static.lolesports.com/teams/1643079304055_RedMammothIcon.png
101383792891050518,GRV,Gravitas,gravitas,LCO,大洋洲赛区,OCEANIA,major,active,10,http://static.lolesports.com/teams/gravitas-logo.png
101383793567806688,SK,SK Gaming,sk-gaming,LEC,EMEA赛区,EMEA,major,active,6,http://static.lolesports.com/teams/1643979272144_SK_Monochrome.png
101383793569248484,AST,Astralis,astralis,LEC,EMEA赛区,EMEA,major,active,0,http://static.lolesports.com/teams/AST-FullonDark.png
101383793572656373,GX,GIANTX,giantx-lec,LEC,EMEA赛区,EMEA,major,active,7,http://static.lolesports.com/teams/1765897105091_GIANTX-logotype-white.png
101383793574360315,RGE,Rogue,rogue,LEC,EMEA赛区,EMEA,major,archived,0,http://static.lolesports.com/teams/1705054928404_RGE.png
101388912911039804,TT,THUNDER TALK GAMING,thunder-talk-gaming,LPL,中国大陆赛区,CHINA,major,active,5,http://static.lolesports.com/teams/TT-FullonDark.png
101388912914513220,NIP,Shenzhen NINJAS IN PYJAMAS,shenzen-ninjas-in-pyjamas,LPL,中国大陆赛区,CHINA,major,active,5,http://static.lolesports.com/teams/1673425724696_NIP-Symbol-RGB-NeonYellow1.png
101422616509070746,GS,Galatasaray Espor,galatasaray-espor,TCL,EMEA赛区,EMEA,major,active,0,http://static.lolesports.com/teams/1631820533570_galatasaray-2021-worlds.png
101428372598668846,BCT,Burning Core Toyama,burning-core,LJL,日本赛区,JAPAN,major,active,6,http://static.lolesports.com/teams/1713338557123_LJL_BCT_Color.png
101428372600307248,RJ,Rascal Jester,rascal-jester,LJL,日本赛区,JAPAN,major,archived,1,https://lolstatic-a.akamaihd.net/esports-assets/production/team/rascal-jester-e0g6cud0.png
101428372602011186,V3,V3 Esports,v3-esports,LJL,日本赛区,JAPAN,major,active,7,http://static.lolesports.com/teams/v3_500x500.png
101428372603715124,CGA,Crest Gaming Act,crest-gaming-act,LJL,日本赛区,JAPAN,major,active,0,http://static.lolesports.com/teams/1673413705064_cga.png
101428372605353526,QTD,QT DIG,sengoku-gaming,LJL,日本赛区,JAPAN,major,active,0,http://static.lolesports.com/teams/1744180899175_qtd_white.png
101428372607057464,AXC,Axiz Crest,axiz,LJL,日本赛区,JAPAN,major,active,0,http://static.lolesports.com/teams/1705738214022_AXIZLOGO-white03.png
101428372830010965,ALF,Alpha Esports,alpha-esports,PCS,台港澳赛区,"HONG KONG, MACAU, TAIWAN",major,active,5,http://static.lolesports.com/teams/1592588479686_AlphaEsportsALF-01-FullonDark.png
101909007470353718,VSG,VSG,vsg,LCK,韩国赛区,KOREA,major,archived,1,https://lolstatic-a.akamaihd.net/esports-assets/production/team/vsg-7knwodft.png
101909007472450882,ESS,ES Sharks,es-sharks,LCK,韩国赛区,KOREA,major,archived,0,https://lolstatic-a.akamaihd.net/esports-assets/production/team/es-sharks-isj26vcq.png
101978171843206569,VEG,Vega Squadron,vega-squadron,LCL,独联体赛区,COMMONWEALTH OF INDEPENDENT STATES,major,active,8,http://static.lolesports.com/teams/vega.png
102235771678061291,IW,DenizBank İstanbul Wildcats,fastpay-wildcats,TCL,EMEA赛区,EMEA,major,active,1,http://static.lolesports.com/teams/1654773501062_DenizBankIstanbulWildcatsWhite1.png
102747101562758215,SP11,SeolHaeOne Prince,apk-prince,LCK,韩国赛区,KOREA,major,archived,0,http://static.lolesports.com/teams/1596306977161_APKPrinceAPK-01-FullonDark.png
102747101565183056,NS,NONGSHIM RED FORCE,nongshim-redforce,LCK,韩国赛区,KOREA,major,active,11,http://static.lolesports.com/teams/NSFullonDark.png
102804906460506452,LK,Lowkey Esports,lowkey-esports,VCS,越南赛区,VIETNAM,major,archived,1,https://lolstatic-a.akamaihd.net/esports-assets/production/team/lowkey-esports-cjb5dppb.png
102825747701670848,UCH,Azules Esports,azules-esports,LLA,拉美赛区,LATIN AMERICA,major,active,3,https://lolstatic-a.akamaihd.net/esports-assets/production/team/azules-esports-ak2khbqa.png
103461966951059521,EG,Evil Geniuses LG,evil-geniuses,LCS,北美赛区,NORTH AMERICA,major,active,0,http://static.lolesports.com/teams/1592590374862_EvilGeniusesEG-01-FullonDark.png
103461966965149786,MKOI,Movistar KOI,mad-lions,LEC,EMEA赛区,EMEA,major,active,6,http://static.lolesports.com/teams/1734012609283_MKOI_FullColor_Blue.png
103461966986776720,UP,Ultra Prime,ultra-prime,LPL,中国大陆赛区,CHINA,major,active,2,http://static.lolesports.com/teams/ultraprime.png
103495716836203404,5R,5 Ronin,5-ronin,TCL,EMEA赛区,EMEA,major,archived,4,http://static.lolesports.com/teams/5R_LOGO.png
103495716886587312,BJK,Beşiktaş Esports,besiktas,TCL,EMEA赛区,EMEA,major,active,0,http://static.lolesports.com/teams/1737386333567_BeiktaEsports.png
103535282119620510,SHG,Fukuoka SoftBank HAWKS gaming,fukuoka-softbank-hawks-gaming,LCP,太平洋,PACIFIC,major,active,5,http://static.lolesports.com/teams/1725885083108_SHG_White_Main.png
103535282124208038,PGG,Pentanet.GG,pentanetgg,LCO,大洋洲赛区,OCEANIA,major,active,8,https://lolstatic-a.akamaihd.net/esports-assets/production/team/pentanetgg-3vnqnv03.png
103743103374986730,HLBR,Havan Liberty,havan-liberty,CBLOL,巴西赛区,BRAZIL,major,archived,1,http://static.lolesports.com/teams/1582994128849_HL%20Logo.png
103743162394217975,SAN,Santos HotForex,santos-hotforex,CBLOL,巴西赛区,BRAZIL,major,archived,1,http://static.lolesports.com/teams/1591044344020_LogoSantosHotForex.png
103963647433204351,M19,M19,m19,LCL,独联体赛区,COMMONWEALTH OF INDEPENDENT STATES,major,active,4,http://static.lolesports.com/teams/1586359360406_M19logo_square.png
103963715924353674,DARM,Dragon Army,dragon-army,LCL,独联体赛区,COMMONWEALTH OF INDEPENDENT STATES,major,active,9,http://static.lolesports.com/teams/1586360405423_440px-Dragon_Armylogo_square.png
103963753080578719,CC,CrowCrowd Moscow,crowcrowd-moscow,LCL,独联体赛区,COMMONWEALTH OF INDEPENDENT STATES,major,active,2,http://static.lolesports.com/teams/Logo_CC.png
103963768923385902,EPG,Elements Pro Gaming,elements-pro-gaming,LCL,独联体赛区,COMMONWEALTH OF INDEPENDENT STATES,major,active,5,http://static.lolesports.com/teams/1586361213717_440px-Elements_Pro_Gaminglogo_square.png
104016416551172375,SRB,Seorabeol Gaming,seorabeol-gaming,LCK,韩国赛区,KOREA,major,archived,1,http://static.lolesports.com/teams/1587164557209_seorabeol.png
104202382255290736,RNS,RENSGA,rensga,CBLOL,巴西赛区,BRAZIL,major,archived,0,http://static.lolesports.com/teams/LogoRensgaEsports.png
104270958001747936,OBG,One Breath Gaming,one-breath-gaming,LCL,独联体赛区,COMMONWEALTH OF INDEPENDENT STATES,major,active,6,http://static.lolesports.com/teams/1643705997409_12.png
104367068120825486,PSG,PSG Talon,psg-talon,LCP,太平洋,PACIFIC,major,active,0,http://static.lolesports.com/teams/1752559016251_PSG_TALON_COLOR.png
104367072827489994,BJD,Berjaya Dragons,berjaya-dragons,PCS,台港澳赛区,"HONG KONG, MACAU, TAIWAN",major,active,2,http://static.lolesports.com/teams/1592588696027_BerjayaDragonsBJD-01-FullonDark.png
104367077419533265,RSG,Resurgence,resurgence,PCS,台港澳赛区,"HONG KONG, MACAU, TAIWAN",major,active,6,http://static.lolesports.com/teams/1600107133106_ResurgenceRSG-01-FullonDark.png
104367082616536883,NOV,Nova Esports,nova-esports,PCS,台港澳赛区,"HONG KONG, MACAU, TAIWAN",major,active,6,http://static.lolesports.com/teams/1592588738660_NovaEsportsNOV-01-FullonDark.png
104367099322647716,LYB,Liyab Esports,liyab-esports,PCS,台港澳赛区,"HONG KONG, MACAU, TAIWAN",major,active,6,http://static.lolesports.com/teams/1592588789533_LiyabEsportsLYB-01-FullonDark.png
105397399468432537,NMG,Miners,netshoes-miners,CBLOL,巴西赛区,BRAZIL,major,archived,0,http://static.lolesports.com/teams/1653399163957_miners_logo.png
105397404796640412,LOUD,LOUD,loud,CBLOL,巴西赛区,BRAZIL,major,active,6,http://static.lolesports.com/teams/Logo-LOUD-Esports_Original.png
105505619546859895,BRO,HANJIN BRION,fredit-brion,LCK,韩国赛区,KOREA,major,active,11,http://static.lolesports.com/teams/1716454325887_Nowyprojekt.png
105515219038427019,KCB,Karmine Corp Blue,karmine-corp-blue,LEC,EMEA赛区,EMEA,major,active,5,http://static.lolesports.com/teams/1765897112519_WHITE.png
105536643047197642,NASR,NASR Esports,nasr-esports,TCL,EMEA赛区,EMEA,major,active,0,http://static.lolesports.com/teams/red.png
105663527959374033,CPT,CTRL PLAY Team,ctrl-play-team,LCL,独联体赛区,COMMONWEALTH OF INDEPENDENT STATES,major,active,7,http://static.lolesports.com/teams/CPT.png
105709099258505657,PCE,PEACE,peace,LCO,大洋洲赛区,OCEANIA,major,active,0,http://static.lolesports.com/teams/1631820668117_peace-2021-worlds.png
106269804045322803,BYG,Beyond Gaming,mega-bank-beyond-gaming,PCS,台港澳赛区,"HONG KONG, MACAU, TAIWAN",major,active,0,http://static.lolesports.com/teams/1686826371701_beyondGaming_logo_W.png
106269818143576465,BME,BOOM Esports,boom-esports,PCS,台港澳赛区,"HONG KONG, MACAU, TAIWAN",major,active,3,http://static.lolesports.com/teams/boom-color.png
106269859169658575,IMP,Impunity Esports,impunity-esports,PCS,台港澳赛区,"HONG KONG, MACAU, TAIWAN",major,active,8,http://static.lolesports.com/teams/impunity.png
106421708401759879,BSGG,Black Star Gaming,black-star-gaming,LCL,独联体赛区,COMMONWEALTH OF INDEPENDENT STATES,major,active,6,http://static.lolesports.com/teams/blackstar-gaming-2021-notext.png
106806773698472633,AZE,Team Aze,team-aze,LLA,拉美赛区,LATIN AMERICA,major,active,0,http://static.lolesports.com/teams/1643739781349_AzeBlanco1.png
106806779752531762,GET,Globant Emerald Team,globant-emerald-team,LLA,拉美赛区,LATIN AMERICA,major,archived,0,http://static.lolesports.com/teams/1629742118863_GET-Black-BG.png
106827766465356396,DFM,to be deleted,tbd-tbd,LJL,日本赛区,JAPAN,major,archived,1,http://static.lolesports.com/teams/1630063718385_dfm_512px.png
106972751203500705,TIP,Team Impulse,team-impulse,LCS,北美赛区,NORTH AMERICA,major,active,0,http://static.lolesports.com/teams/1632274641864_tip.jpg
106972778172351142,NRG,NRG Kia,nrg-esports,LCS,北美赛区,NORTH AMERICA,major,archived,0,http://static.lolesports.com/teams/1705723539817_NRGKiaWhite1.png
106972784308566040,REN2,Renegades,renegades,LCS,北美赛区,NORTH AMERICA,major,active,0,http://static.lolesports.com/teams/1632275147625_ren.png
107044951062646444,GV,Gravity,gravity,LCS,北美赛区,NORTH AMERICA,major,active,0,http://static.lolesports.com/teams/1633376327102_Gravity_North_American_Teamlogo_square.png
107044955612300225,T8,Team 8,team-8,LCS,北美赛区,NORTH AMERICA,major,active,0,http://static.lolesports.com/teams/1633376396291_t8.png
107044965163896500,CST,Team Coast,team-coast,LCS,北美赛区,NORTH AMERICA,major,active,0,http://static.lolesports.com/teams/1633376542614_COAST.png
107044968545881783,WFX,Winterfox,winterfox,LCS,北美赛区,NORTH AMERICA,major,active,0,http://static.lolesports.com/teams/1633376593408_Winterfox_Logo_Update.png
107135349592625778,AZF,Azubu Frost,azubu-frost,LCK,韩国赛区,KOREA,major,active,0,http://static.lolesports.com/teams/1669820647966_Azubu_Frostlogo_square.png
107135747935244917,NBSW,NaJin Black Sword,najin-black-sword,LCK,韩国赛区,KOREA,major,active,0,http://static.lolesports.com/teams/1669838305409_NaJin_Black_Swordlogo_square.png
107251231972989211,SBTE,SBTC ESPORTS,sbtc-esports,VCS,越南赛区,VIETNAM,major,active,6,http://static.lolesports.com/teams/1656693279140_LOGOFINALKHNGCH-13.png
107251245690956393,MVK,MVK Esports,saigon-buffalo-esports,LCP,太平洋,PACIFIC,major,active,6,http://static.lolesports.com/teams/1767089709161_White_Logo.png
107251307514079872,LX,LXE ESPORTS,lxe-esports,VCS,越南赛区,VIETNAM,major,active,8,http://static.lolesports.com/teams/1636525075589_Luxury_Esports_2020_Logo.png
107251374793416561,CES,CERBERUS ESPORTS,cerberus-esports,VCS,越南赛区,VIETNAM,major,active,8,http://static.lolesports.com/teams/1636526090059_900px-CERBERUS_Esports.png
107251941920386009,SKY,BTS ESPORTS,bts-esports,VCS,越南赛区,VIETNAM,major,active,6,http://static.lolesports.com/teams/1636534755855_900px-Burst_the_Sky.png
107258254469504696,TF,TP.HCM Team Flash,team-flash,VCS,越南赛区,VIETNAM,major,active,0,http://static.lolesports.com/teams/1737109056884_logoteamflash.png
107380494843637223,SSB,Samsung Blue,samsung-blue,LCK,韩国赛区,KOREA,major,active,0,http://static.lolesports.com/teams/1638496318179_Samsung_Bluelogo_profile.png
107385211290331909,SSW,Samsung White,samsung-white,LCK,韩国赛区,KOREA,major,active,0,http://static.lolesports.com/teams/1638568285937_Samsung_Whitelogo_profile.png
107385421206530828,LMQ,LMQ,lmq,LCS,北美赛区,NORTH AMERICA,major,active,0,http://static.lolesports.com/teams/1638571489257_LMQ_Logo.png
107385500799806223,NWS,NaJin White Shield,najin-white-shield,LCK,韩国赛区,KOREA,major,active,0,http://static.lolesports.com/teams/1669838207962_NaJin_White_Shieldlogo_square.png
107385769105341437,SHR,Star Horn Royal Club,star-horn-royal-club,LPL,中国大陆赛区,CHINA,major,active,1,http://static.lolesports.com/teams/1638576797331_SHRoyal_Clublogo_profile.png
107437032053655867,KNG,Kanga Esports,kanga-esports,LCO,大洋洲赛区,OCEANIA,major,active,11,http://static.lolesports.com/teams/1643079892147_Dark_BG_Logo_Icon.png
107444707109325651,SPB,St.Petersburg Polytechnic University,stpetersburg-polytechnic-university,LCL,独联体赛区,COMMONWEALTH OF INDEPENDENT STATES,major,active,7,http://static.lolesports.com/teams/1639476118377_logo.png
107444893599379878,MAI,Moscow Aviation Institute,moscow-aviation-institute,LCL,独联体赛区,COMMONWEALTH OF INDEPENDENT STATES,major,active,7,http://static.lolesports.com/teams/1639478962323_1200px-Emblem_of_Moscow_Aviation_Institute.svg.png
