name,short,region,location,org,is_disbanded,renamed_to
00 Nation,00N,Europe,Norway,,1,
00 Prospects,00P,Europe,Norway,,1,
1 Trick Ponies,1TP,North America,,,1,
1. Berliner Esport-Club e.V.,BESC,Europe,,,1,
100 Thieves,100T,Americas,United States,100 Thieves (Organization),1,
100 Thieves Academy,100.A,North America,United States,100 Thieves (Organization),1,100 Thieves Challengers
100 Thieves Challengers,100C,North America,United States,100 Thieves (Organization),1,
100 Thieves Next,100X,North America,United States,100 Thieves (Organization),1,
13Noobz Gaming,13N,North America,,,1,
17 Academy,17A,LMS,Taiwan,,1,MachiX
19esports,19,Latin America,Mexico,,1,
2 Massive,2M,EMEA,Sweden,,0,
2144 Danmu Gaming,2144D,China,China,,1,DAN Gaming
2144 Gaming,2144,China,China,,1,
24/7 Tower Dive,TD,EMEA,Netherlands,,0,
269 Gaming,269,SEA,Vietnam,,1,
29Gaming,29G,Asia Pacific,Vietnam,,1,Ngựa Hí Esports
2Kill Gaming,2K,Brazil,Brazil,,1,
300,300,North America,,,1,
34united e-Sports Club,34U,Europe,Spain,,1,
3BL Esports,3BL,EMEA,Egypt,,0,
3D Revolution,3DR,Europe,,,1,
3DMAX,3DMAX,Europe,France,,1,
3sUP Enterprises,3sUP,Europe,United States,,1,
3v Team,3V,North America,Spain,,0,
4 Swines &amp; A Bum,FF15,EMEA,Poland,,1,
404 Multigaming e.V.,404,EMEA,Germany,,0,
42 Gaming,42,EMEA,,,1,
4Elements Esports,4E,Europe,Netherlands,,1,
4Elements Scuttle Squad,SSQ,Europe,,,1,
4everzenzyg,4ZE,Europe,Denmark,,1,
4Kings,4K,Europe,United Kingdom,,1,
4moD,4moD,SEA,Malaysia,,1,
5 Hydra Esport,5H,Europe,Italy,,1,Campus Party Sparks
5 Ronin,5R,EMEA,Turkey,,1,
5 Ronin Academy,5R.A,Turkey,Turkey,,1,
5 Seasons,5S,North America,,,1,
5Fox E-Sports Club,5Fox,Brazil,Brazil,,1,Falkol
6GPA,6GPA,EMEA,Germany,,1,
6Sense,6SN,Latin America,Mexico,,1,
7more7 Black,77.B,Europe,Poland,,1,
7more7 Pompa Team,PT7,Europe,Poland,,1,PDW
7more7 Pompa Team Academy,7PT.A,Europe,Poland,,1,
7more7 White,77.W,Europe,Poland,,1,
7REX,7REX,Brazil,Brazil,,0,
7th heaven,7h,Japan,Japan,,1,
7th heaven X,7hX,Japan,Japan,,1,
9Gaming Esports,9G,Asia Pacific,Vietnam,,0,
9z Globant,9ZG,Brazil,Argentina,,0,
9z Team,9Z,Brazil,Argentina,,1,9z Globant
A One Man Army,AOMA,EMEA,Netherlands,,1,
A One Man Army Prime,AOMA,EMEA,Netherlands,,1,A One Man Army
AaB Esport,AaB,EMEA,Denmark,,0,
Abandoned Kittens,ABK,North America,,,1,
Able Esports,ABLE,North America,Canada,,1,
Absolute,ABS,Oceania,Australia,,1,Infernum Gaming
Absolute Legends,AL,Europe,,,1,HEET
Absolute Legends CZSK,AL,Europe,Belgium,,1,
Absolute Legends NA,AL,North America,United States,,1,
Absolute Legends Netherlands,AL,Europe,Belgium,,1,
Absolute Legends Singapore,AL,SEA,Singapore,,1,
Absolved,ABV,EMEA,United Kingdom,,0,
Absolved Female,ABV.F,Europe,United Kingdom,,1,
Abyss Academy,ABY,Oceania,Australia,,1,
Abyss Esports,ABY,Oceania,Australia,,1,Bombers
Abyssal Esport Club,ABY,Europe,Spain,,1,
Acclaim EmpireX,AEX,SEA,Philippines,,1,
ACE 1,A1,Latin America,Chile,,1,
AceGaming,ACE,EMEA,Germany,,0,
Acer Green Team,AGT,SEA,Thailand,,1,
AceS GaminG,ACS,Latin America,,,1,
Aces High Esports Club,AH,Turkey,Turkey,,1,
AceZone e-Sports,aZ,Brazil,Brazil,,1,
AcFun e-Sports Club,ACF,China,China,,1,2144 Gaming
ACTINA PACT,PCT,Europe,,,1,
Action Team eSports,ATE,Brazil,Brazil,,1,
Actions Per Minute,APM,EMEA,Greece,,1,Zerolag Esports
Actions Per Minute Academy,APMA,EMEA,Greece,,1,
Activit-E,aVe,EMEA,,,1,
AD Gaming,ADG,China,China,,1,EDward Esports
ad hoc gaming,AHG,Europe,Germany,,1,
ad hoc gaming Gentlemen's Club,AHG.GC,Europe,Germany,,1,
Adive,Adive,Europe,,,1,
Adriatic Wolves,AW,Europe,Italy,,1,
Adverse,ADV,EMEA,France,,1,
